NTU,min_from_start
1481.693,1
1482.309,2
1483.049,3
1483.376,4
1484.3339999999998,5
1484.604,6
1484.854,7
1485.688,8
1486.2379999999998,9
1486.667,10
1487.132,11
1488.013,12
1487.717,13
1488.174,14
1488.71,15
1489.447,16
1490.026,17
1490.578,18
1490.872,19
1491.345,20
1491.741,21
1492.799,22
1493.628,23
1494.003,24
1494.589,25
1494.697,26
1495.1129999999998,27
1496.6470000000002,28
1497.265,29
1498.354,30
1500.419,31
1501.3570000000002,32
1501.935,33
1503.948,34
1504.862,35
1504.341,36
1504.97,37
1506.152,38
1506.279,39
1507.529,40
1507.332,41
1508.149,42
1508.402,43
1510.244,44
1510.378,45
1513.888,46
1541.3929999999998,47
1542.216,48
1542.795,49
1543.544,50
1543.7879999999998,51
1544.162,52
1544.2820000000002,53
1544.54,54
1542.829,55
1542.833,56
1545.885,57
1579.816,58
1580.73,59
1580.77,60
1581.256,61
1581.437,62
1582.292,63
1581.946,64
1582.0,65
1582.605,66
1582.364,67
1582.753,68
1582.389,69
1581.5179999999998,70
1581.333,71
1581.497,72
1582.104,73
1582.4489999999998,74
1583.305,75
1583.497,76
1583.896,77
1583.921,78
1584.235,79
1584.315,80
1584.2879999999998,81
1584.42,82
1584.5410000000002,83
1585.0220000000002,84
1585.132,85
1584.869,86
1585.128,87
1585.3770000000002,88
1453.033,89
5.428905,90
28.41551,91
53.343230000000005,92
72.74288,93
90.12926,94
98.58408,95
98.89231,96
99.57037,97
100.2209,98
99.89198,99
100.1409,100
100.6641,101
100.2595,102
100.7446,103
100.4639,104
100.5556,105
100.9591,106
101.1121,107
101.144,108
101.6083,109
101.4311,110
101.4306,111
102.0506,112
101.6062,113
102.2924,114
101.8328,115
102.1349,116
102.3693,117
102.5765,118
102.1946,119
101.9066,120
102.3817,121
102.575,122
102.3613,123
102.1208,124
102.4501,125
102.5937,126
102.831,127
102.7344,128
103.376,129
103.3136,130
103.1014,131
103.1768,132
103.1667,133
103.0515,134
102.9926,135
103.5298,136
103.3652,137
103.9289,138
103.4557,139
103.7729,140
103.0762,141
103.1651,142
103.8784,143
103.5986,144
103.6178,145
104.6471,146
103.6804,147
103.6793,148
104.1351,149
103.9224,150
103.8189,151
105.0351,152
104.7627,153
104.3075,154
105.0965,155
105.6653,156
104.4938,157
104.4658,158
105.0244,159
104.6258,160
105.0497,161
104.8575,162
104.3724,163
105.2454,164
105.3274,165
104.6774,166
104.6664,167
104.8137,168
105.7105,169
105.0875,170
105.7401,171
105.382,172
105.9891,173
105.4687,174
106.1728,175
105.443,176
105.6593,177
106.433,178
104.8067,179
105.4792,180
105.015,181
105.2473,182
105.3497,183
105.5603,184
105.1538,185
105.2859,186
105.4991,187
105.2758,188
105.5852,189
106.0438,190
105.1048,191
106.1524,192
105.8435,193
105.3929,194
105.9462,195
105.2939,196
105.5146,197
105.366,198
105.424,199
104.8169,200
105.749,201
105.2887,202
106.2048,203
105.5093,204
105.7469,205
105.2393,206
105.5307,207
105.4542,208
105.4843,209
105.6398,210
105.9844,211
106.2246,212
106.3651,213
106.1332,214
105.9055,215
105.4095,216
106.3716,217
106.2424,218
105.7831,219
106.5826,220
107.3409,221
105.9017,222
105.6211,223
106.3077,224
105.9878,225
106.3112,226
106.2737,227
105.6216,228
106.304,229
106.6969,230
105.9047,231
105.9764,232
105.7119,233
105.7368,234
106.0671,235
106.6679,236
106.3017,237
105.9656,238
106.2904,239
107.1687,240
106.1475,241
106.4658,242
106.1985,243
106.6291,244
106.2792,245
106.084,246
106.6908,247
106.8099,248
105.8563,249
106.557,250
106.2687,251
106.8574,252
105.582,253
106.1137,254
106.4316,255
106.7424,256
107.142,257
106.1666,258
106.6911,259
106.9915,260
107.8505,261
106.2942,262
106.4923,263
106.2206,264
106.3119,265
106.3561,266
106.1147,267
106.2326,268
106.3717,269
106.5478,270
106.461,271
108.4908,272
107.1619,273
106.9018,274
107.4336,275
107.1424,276
106.5465,277
106.8896,278
106.951,279
106.6961,280
106.8585,281
106.5092,282
107.1342,283
106.755,284
106.8055,285
107.4417,286
106.5433,287
106.8945,288
107.5811,289
106.7103,290
106.8536,291
107.3089,292
107.1441,293
107.7956,294
106.7509,295
106.8606,296
108.1585,297
108.052,298
107.1655,299
106.75,300
106.6438,301
106.8064,302
107.5435,303
106.9043,304
106.6815,305
107.0299,306
107.5038,307
106.9644,308
107.1111,309
106.9199,310
107.3409,311
107.2073,312
107.0141,313
107.0185,314
107.6964,315
107.6425,316
107.2615,317
107.1763,318
106.8045,319
107.5865,320
107.4429,321
108.5121,322
107.2534,323
107.3636,324
107.8959,325
108.8361,326
107.8949,327
107.0937,328
109.0264,329
107.7579,330
107.3183,331
107.8066,332
107.3743,333
107.5276,334
107.9103,335
108.4875,336
108.848,337
108.7864,338
108.3961,339
108.1445,340
109.3971,341
108.2853,342
107.1885,343
107.8151,344
107.9693,345
107.4713,346
108.2316,347
107.7736,348
107.5232,349
108.5448,350
108.1033,351
107.7134,352
107.6701,353
107.541,354
107.557,355
107.5661,356
107.557,357
107.7482,358
108.2347,359
108.0252,360
107.9333,361
108.0196,362
108.4293,363
108.3719,364
107.8939,365
108.5941,366
109.0991,367
109.3939,368
109.0204,369
109.8843,370
110.4294,371
110.2115,372
110.6418,373
110.5776,374
110.9363,375
110.5431,376
111.9641,377
110.7956,378
111.1225,379
111.0236,380
111.135,381
111.191,382
111.436,383
111.7255,384
111.569,385
111.3656,386
111.2019,387
111.0456,388
112.1504,389
111.4602,390
114.6275,391
112.8636,392
111.8497,393
112.0198,394
112.8817,395
112.5209,396
112.9507,397
112.7469,398
112.0331,399
112.5629,400
111.6916,401
112.583,402
112.6281,403
112.0263,404
112.1898,405
112.0492,406
112.6959,407
111.8365,408
112.2896,409
112.0208,410
111.5969,411
111.7881,412
111.9998,413
112.8684,414
113.1975,415
115.165,416
112.7857,417
112.1559,418
113.7441,419
112.415,420
111.9585,421
112.7049,422
112.6128,423
112.5967,424
112.2906,425
112.4781,426
112.372,427
111.9916,428
113.7959,429
112.3442,430
113.2313,431
112.6345,432
112.002,433
112.4799,434
112.4764,435
112.3996,436
112.6013,437
114.2635,438
112.3551,439
112.6245,440
112.9254,441
112.1884,442
111.9306,443
112.0332,444
112.7961,445
112.7,446
113.234,447
112.4243,448
113.1331,449
115.5386,450
155.1938,451
269.1476,452
216.6709,453
178.50099999999998,454
150.1149,455
125.7304,456
113.9729,457
115.4462,458
114.7145,459
113.5938,460
113.1262,461
114.1425,462
115.5972,463
114.3703,464
106.0527,465
37.42786,466
187.824,467
198.0758,468
198.6711,469
199.2823,470
199.7605,471
200.3062,472
200.2508,473
200.2797,474
200.7927,475
201.1388,476
200.9137,477
201.1496,478
202.1242,479
201.7559,480
202.4068,481
201.4305,482
201.5939,483
202.0776,484
201.9268,485
202.1013,486
202.6522,487
202.2812,488
202.3949,489
202.5429,490
203.1006,491
203.5527,492
202.8346,493
202.9562,494
203.0652,495
203.0386,496
203.7547,497
203.4725,498
204.2526,499
204.4972,500
203.6795,501
203.3971,502
203.4078,503
203.2126,504
202.9974,505
203.063,506
204.21,507
203.24400000000003,508
203.0822,509
203.6529,510
203.6942,511
203.5219,512
203.7156,513
203.1057,514
204.2659,515
204.4587,516
204.7802,517
204.6486,518
205.3835,519
205.2146,520
205.0302,521
204.8596,522
205.1186,523
205.1602,524
205.0103,525
205.2838,526
205.3589,527
205.0275,528
204.6572,529
205.3408,530
205.3786,531
205.9878,532
205.8102,533
205.9945,534
205.8599,535
205.5704,536
206.2773,537
206.0258,538
205.8622,539
206.0774,540
205.8769,541
206.0816,542
206.5945,543
206.0856,544
206.2316,545
206.2832,546
205.9606,547
206.2155,548
206.7142,549
205.8558,550
206.4764,551
206.6832,552
206.1844,553
206.5687,554
207.569,555
205.987,556
206.1259,557
206.5187,558
206.5921,559
206.3262,560
206.1285,561
206.4594,562
206.3801,563
206.6698,564
206.1026,565
206.4178,566
205.8938,567
206.1923,568
206.6897,569
206.8989,570
207.6494,571
206.5107,572
206.8761,573
206.7286,574
207.0539,575
206.5269,576
206.8255,577
207.3115,578
207.7553,579
206.7081,580
206.3535,581
206.5673,582
206.4325,583
206.8544,584
207.1978,585
207.6528,586
206.8723,587
207.047,588
207.3857,589
208.0697,590
206.9255,591
207.4584,592
206.613,593
206.838,594
207.1432,595
207.5356,596
207.15,597
207.5698,598
207.1683,599
206.8672,600
207.159,601
208.279,602
207.1737,603
207.4535,604
207.4052,605
207.8384,606
207.6085,607
207.7656,608
207.875,609
208.2813,610
207.5513,611
207.7706,612
208.2313,613
207.6124,614
208.2118,615
207.7533,616
207.6177,617
207.7581,618
207.8105,619
207.5817,620
207.8817,621
208.0771,622
208.2026,623
208.5355,624
207.8638,625
207.7637,626
207.8697,627
208.0023,628
208.5421,629
208.1917,630
207.8054,631
208.0569,632
208.687,633
208.7729,634
207.9694,635
207.7149,636
208.8234,637
208.3475,638
208.2098,639
208.6965,640
208.0909,641
208.4153,642
207.9921,643
208.4653,644
208.4609,645
208.5096,646
207.8782,647
208.739,648
207.8611,649
208.1808,650
208.8366,651
208.2646,652
207.3131,653
208.3063,654
208.4359,655
208.2534,656
208.4043,657
208.5778,658
208.0896,659
208.4248,660
208.4182,661
208.7724,662
208.7426,663
209.8295,664
208.5893,665
208.8761,666
208.2493,667
208.9682,668
208.6425,669
207.2591,670
208.918,671
208.8029,672
208.4992,673
208.4816,674
209.1171,675
208.3029,676
208.4387,677
208.8406,678
208.5866,679
209.0827,680
210.1351,681
208.3639,682
208.2269,683
208.5618,684
208.1139,685
208.471,686
208.8445,687
208.9814,688
209.1987,689
208.8954,690
208.503,691
208.6305,692
208.0588,693
208.4913,694
208.6079,695
207.7332,696
208.8781,697
209.1735,698
208.7938,699
208.454,700
208.0569,701
208.6522,702
208.2392,703
208.6483,704
208.6718,705
208.7447,706
208.3238,707
208.6696,708
208.2068,709
208.7451,710
208.4233,711
208.8515,712
208.9272,713
209.1768,714
209.414,715
209.5479,716
208.4698,717
208.8427,718
208.2427,719
208.3136,720
209.0143,721
208.9109,722
208.6698,723
208.8424,724
208.7905,725
208.8522,726
208.7334,727
208.8147,728
208.612,729
208.9025,730
209.3468,731
208.8074,732
209.2568,733
209.023,734
208.9454,735
209.1852,736
208.8383,737
208.948,738
209.0888,739
209.4164,740
209.2493,741
208.737,742
208.9511,743
208.9596,744
208.9919,745
208.3356,746
208.6432,747
208.955,748
208.2937,749
209.1102,750
209.4058,751
208.8407,752
209.2069,753
209.4436,754
209.1535,755
209.3229,756
209.3337,757
209.574,758
209.6031,759
209.076,760
209.1699,761
209.8683,762
209.3775,763
209.514,764
209.4038,765
208.9834,766
209.132,767
208.9339,768
208.7377,769
209.0498,770
209.3858,771
209.2588,772
209.3997,773
209.3425,774
209.2824,775
209.1917,776
209.205,777
208.9668,778
209.2916,779
209.1928,780
209.4738,781
208.6581,782
209.1453,783
209.1205,784
209.06,785
209.105,786
209.4924,787
209.3166,788
208.8838,789
210.2947,790
209.7214,791
209.5352,792
209.9435,793
209.3732,794
209.2055,795
