min,G_Hz,S_ppt
0,70,2.2
60,70,2.2
60,70,5.1
120,70,5.1
120,70,7.5
180,70,7.5
180,70,9.4
240,70,9.4
240,70,15.3
300,70,15.3
300,70,24
500,70,24
