min,d16_mu,d50_mu,d84_mu,solidity,min_from_start
1,28.299771876232725,52.04962999075015,91.48398743489912,0.8496277310924369,1
2,29.20314391863691,50.20528364106095,85.0557292920347,0.8422492827868847,2
3,27.040335156570315,46.21934522177372,78.37011437536592,0.8452390374331544,3
4,28.83388875356693,55.58318966023968,91.92725358584325,0.8465516460905358,4
5,27.316769417179184,48.21262281041375,83.78388473112592,0.8475808571428566,5
6,28.110939809591503,47.18712914201603,82.57766555211387,0.8453282363977488,6
7,28.112463673124527,49.36344828173469,76.41345920373772,0.8458113360323883,7
8,27.654513531766533,49.18284624267911,74.88765691065325,0.846110546500478,8
9,27.71187178912705,50.7772472528446,90.19086670294114,0.8447930612244892,9
10,27.597628217464223,46.1609866620101,77.8926609296788,0.8452625494071144,10
11,28.47446076821207,53.23918140691572,80.24746250656372,0.8457735721200388,11
12,28.911441809137,51.331920316234864,93.52281721936276,0.8445913654618469,12
13,28.396821107735093,48.66439120520481,78.3355240767349,0.8435073999999987,13
14,28.954453247784823,52.101839121980326,91.51108289205052,0.8441938656280427,14
15,28.75324466834516,50.42809388334781,90.3218618919002,0.8460105214152704,15
16,29.295787836338988,52.92352515393236,92.92237926537588,0.8459928078817737,16
17,29.319591474862232,56.03516656153935,109.97064100373072,0.8470702217529045,17
18,27.488227618811464,46.42886813584399,69.07659782933221,0.8432778217821774,18
19,28.672553048003422,49.46021562555558,84.40413333588673,0.8398419847328245,19
20,28.116152357418223,48.04594674312619,79.27306341977395,0.8460659274193563,20
21,27.234893845613332,47.86227787815192,84.34321858728336,0.8386691800188505,21
22,31.215018413603563,55.533221690551066,96.97331482965032,0.8403876298394715,22
23,31.0006170003005,47.10338788718368,69.04853572458946,0.8387000000000012,23
24,32.38559976281007,53.04209712743273,91.2397720101386,0.8364597435897435,24
25,34.086324122142344,64.30528609842928,116.1456701325652,0.8363002631578946,25
26,31.5374414213519,48.5055292916262,78.62878497930389,0.83174775,26
27,35.10752389305353,64.4920100103935,113.96406112190978,0.835101165501166,27
28,30.162453604288345,47.66041000795079,77.8820352632549,0.8386117493472586,28
29,32.0759809586589,55.23788793068906,103.475000046932,0.8324103686635946,29
30,31.096285613332647,50.27543166302106,74.46566831478427,0.8344116279069766,30
31,33.09087788955401,56.38042429024422,85.81294762995257,0.8349854166666669,31
32,30.567778178090887,47.42080179167382,82.23978492532119,0.8343865671641791,32
33,30.513451043918685,49.13721828103212,79.78751152931316,0.8353002352941176,33
34,32.32893465427049,50.280315416059885,70.84347588863565,0.8330224137931039,34
35,33.93720095819806,55.05735684067941,84.79173906626652,0.8311461538461543,35
36,31.316664849775908,52.23136982727226,85.82293494248323,0.8307371134020624,36
37,31.456225888278283,54.4470236109331,92.06834945695472,0.8280365789473689,37
38,32.29256784713906,57.421808609936335,89.8633907090244,0.8347408878504674,38
39,31.33577753353125,54.005889537403775,89.33297688218309,0.8386793503480283,39
40,32.834212459386855,58.72540206534092,90.1243617776659,0.8319130890052353,40
41,33.12865755769413,59.26394703158127,91.27964218725012,0.8329041450777209,41
42,33.51586546081251,63.320306611184776,103.66081720967688,0.8312362944162436,42
43,32.4431662128218,56.39373501769318,88.58019740880665,0.8385131652661063,43
44,33.53146418359215,57.2753918566428,96.8616909865985,0.8306707920792087,44
45,31.6848105348048,48.732341219659546,68.43228713681931,0.8332067183462527,45
46,34.70090372478459,62.32175110663547,99.75820541365763,0.8338058974358976,46
47,29.974002848871017,49.8122877788804,89.78873654749687,0.8317824933687008,47
48,32.849037970736134,53.48086561323511,96.09776411023894,0.8260838120104439,48
49,32.60936924275419,55.48536883311068,86.52541510136732,0.833386714975845,49
50,32.43236364171193,56.26297452766264,90.55727092832736,0.828773177083333,50
51,34.64762174657534,65.38701883164896,131.3416774955274,0.8308272965879261,51
52,32.98862525474568,51.104070004269786,91.04165208329938,0.8373225974025982,52
53,31.668212351402516,52.49836618491017,80.06063586389511,0.8300992187499997,53
54,32.30074240880426,53.5987183591815,87.52189334139165,0.8307368674698787,54
55,32.20565030736298,55.42284160903576,78.01423654765291,0.8252814814814817,55
56,32.21375100138609,51.44995093153437,81.40391898901863,0.8322293506493502,56
57,33.361642461939404,57.00242155386339,96.96878462434536,0.836020844327177,57
58,32.66348850023913,57.57788051621496,84.36434664544707,0.8306161458333335,58
59,35.7262668720913,69.69514854981071,97.3713572190166,0.8294393229166682,59
60,32.6536271259581,57.24216914726924,95.3202730821618,0.8278991712707184,60
61,30.62173197944849,49.059077744277246,69.7965786776988,0.8282953545232271,61
62,33.24636943675903,55.48903262169889,83.7389782652799,0.8277950000000007,62
63,31.618581575192245,49.07056957899442,71.20583631176474,0.8336604712041882,63
64,32.73507742603992,52.26965157685538,79.84327749589403,0.8241241293532334,64
65,33.112870593037734,56.35488103885996,103.86953154132048,0.8248052486187842,65
66,32.81137889451792,51.74976323930437,76.94984834823356,0.8243433673469391,66
67,33.70219091163635,53.090996421525816,86.84563252400993,0.8340805851063827,67
68,33.25913714565855,58.85719799858481,100.70436105539306,0.8290887139107609,68
69,33.17555618912014,54.86345568267395,89.45960187792706,0.8253731155778893,69
70,32.49303168013329,53.852639285079626,85.60109138492086,0.8334251948051947,70
71,34.29158246446924,61.76826033631592,119.19188435406984,0.8257967171717171,71
72,34.35456302203076,59.04467384989117,88.20179617743264,0.8251717616580314,72
73,34.00597239683483,56.590136864374855,102.67235936666334,0.8357705314009666,73
74,32.66071973048445,52.89999427655111,81.0688272700063,0.8339556390977444,74
75,33.957712985885834,60.02601945275906,86.56088335145374,0.8324114361702126,75
76,31.406982505196797,46.175357118006055,75.17421308770501,0.8324471744471739,76
77,34.58128774864831,56.93675633630374,96.31309318806916,0.8316885922330103,77
78,33.87945221828621,55.435235852060494,75.82110443695659,0.8345346883468838,78
79,33.53407099407786,55.78553430627221,87.68131670857318,0.8341379220779219,79
80,34.237025778279786,56.980896531532544,93.12776417659578,0.8333014925373137,80
