NTU,min_from_start
56.37878,1
54.26607,2
54.39606,3
52.48674,4
52.7289,5
52.60227,6
52.4395,7
52.25615,8
52.78327,9
53.90355,10
54.50991,11
51.99186,12
52.46991,13
52.51782,14
51.70826,15
51.41705,16
52.95036,17
52.52562,18
51.83977,19
50.5027,20
52.8391,21
53.39757,22
53.63028,23
49.21677,24
52.0197,25
50.88518,26
49.85524,27
51.30386,28
53.71142,29
52.45858,30
51.04567,31
52.01179,32
51.63629,33
51.06234,34
51.75401,35
54.18951,36
52.8562,37
49.49449,38
51.73732,39
52.15607,40
51.92424,41
52.45135,42
51.00927,43
51.39018,44
52.90139,45
51.22348,46
51.1094,47
53.509,48
50.1296,49
50.93982,50
50.5172,51
52.52672,52
52.69876,53
51.26411,54
53.46783,55
51.97862,56
50.67512,57
49.59854,58
51.16219,59
52.3064,60
51.0181,61
50.08741,62
51.78735,63
52.21457,64
50.3316,65
51.15715,66
50.73085,67
50.66072,68
51.49901,69
49.7407,70
50.77787,71
50.2045,72
48.34717,73
50.53811,74
49.88787,75
49.77974,76
50.29832,77
50.43327,78
50.63129,79
48.74269,80
49.82489,81
49.32518,82
50.28174,83
49.9148,84
49.55534,85
49.86402,86
51.29583,87
49.0279,88
50.99961,89
49.2676,90
50.39581,91
50.78584,92
49.6898,93
51.57362,94
49.46771,95
49.8237,96
51.78469,97
51.69469,98
49.16471,99
49.47754,100
49.02226,101
51.04058,102
50.79169,103
51.06833,104
48.99129,105
50.86522,106
49.80458,107
49.48497,108
49.06208,109
47.88124,110
48.88478,111
49.87517,112
48.64287,113
48.76123,114
48.20917,115
49.87709,116
49.31386,117
49.85251,118
51.24816,119
50.04405,120
48.30782,121
47.77671,122
51.14188,123
50.00374,124
50.24105,125
51.09061,126
50.20894,127
50.07698,128
50.39456,129
50.54768,130
50.59842,131
49.82759,132
50.71647,133
49.90816,134
49.92796,135
52.68021,136
49.41753,137
50.95921,138
49.51725,139
48.46705,140
49.48038,141
51.85855,142
50.42432,143
50.09275,144
50.17816,145
48.44356,146
48.87485,147
49.52317,148
49.97049,149
49.54422,150
48.39423,151
48.82364,152
50.97516,153
49.61547,154
49.2491,155
50.06024,156
50.22775,157
48.20724,158
49.99137,159
50.03316,160
50.90506,161
49.09349,162
49.53183,163
48.60976,164
48.15763,165
49.86667,166
49.576,167
47.95739,168
49.56893,169
49.67065,170
49.58971,171
48.51416,172
49.00591,173
50.90737,174
49.3024,175
50.69166,176
49.73399,177
49.98745,178
51.09264,179
48.51025,180
48.30039,181
51.35617,182
48.55387,183
47.827,184
48.62141,185
48.3589,186
50.03071,187
48.24622,188
49.43365,189
49.38252,190
51.00657,191
49.32938,192
50.30844,193
49.40849,194
49.03188,195
49.382,196
48.55725,197
48.38243,198
48.65484,199
48.72695,200
50.49821,201
49.15329,202
49.61109,203
49.43214,204
49.82809,205
49.62505,206
48.4776,207
48.81082,208
48.70462,209
50.17144,210
49.67498,211
49.12067,212
47.55071,213
48.52249,214
49.90227,215
49.07517,216
49.45898,217
49.33835,218
49.40265,219
47.07455,220
50.04203,221
48.72513,222
48.44894,223
49.1774,224
48.92361,225
48.82835,226
50.46326,227
49.54702,228
50.52981,229
49.54525,230
47.96621,231
48.25103,232
49.53532,233
48.7959,234
49.90611,235
49.9163,236
50.78738,237
48.06952,238
48.95882,239
48.69386,240
48.7271,241
47.25672,242
47.1925,243
48.55738,244
48.34299,245
49.4329,246
48.86178,247
48.92984,248
50.07193,249
48.51524,250
47.35191,251
48.66305,252
49.24274,253
49.83951,254
48.82344,255
48.20027,256
49.88206,257
49.07586,258
49.27784,259
49.58617,260
49.29007,261
48.39389,262
48.54766,263
48.13768,264
49.28429,265
49.28123,266
48.06298,267
47.7367,268
49.44078,269
48.73968,270
50.06158,271
48.08759,272
49.19543,273
48.24898,274
47.77035,275
49.09777,276
50.12347,277
49.28993,278
48.89629,279
48.91049,280
49.67007,281
47.97324,282
48.88533,283
48.52862,284
50.23698,285
47.67551,286
50.43502,287
49.05181,288
48.20198,289
49.32365,290
51.10829,291
48.834,292
49.22772,293
50.2844,294
48.98119,295
47.81732,296
48.66135,297
47.38867,298
49.01544,299
50.1555,300
48.59658,301
46.93747,302
49.34421,303
49.36324,304
49.17298,305
47.54982,306
49.35848,307
47.9071,308
47.99527,309
48.56605,310
48.9052,311
49.33268,312
48.92095,313
49.33539,314
49.06689,315
47.90351,316
49.2165,317
47.81723,318
48.8629,319
48.0712,320
49.85745,321
47.96067,322
49.26012,323
49.89366,324
49.25617,325
48.56922,326
48.62117,327
48.16429,328
48.37413,329
48.99951,330
48.48939,331
48.05931,332
48.59877,333
48.27431,334
48.41689,335
48.15683,336
48.92642,337
48.6943,338
47.8438,339
48.87851,340
48.59919,341
48.87527,342
48.36755,343
48.53724,344
48.10935,345
47.8699,346
48.80621,347
52.7833,348
53.20565,349
54.02937,350
54.6427,351
54.45445,352
54.08027,353
54.59822,354
54.59501,355
54.84178,356
55.17158,357
54.57136,358
53.98658,359
54.72368,360
56.09095,361
54.12205,362
54.07608,363
53.89954,364
54.38474,365
46.15813,366
36.03004,367
36.99755,368
36.68805,369
42.59463,370
42.56941,371
42.11424,372
41.98989,373
41.97831,374
