min,d16_mu,d50_mu,d84_mu,solidity,min_from_start
1,32.56743797700852,51.28297975182275,80.82007123428666,0.8558502336448593,1
2,31.80329798173928,50.20026552403772,85.54762806907644,0.8556350977198707,2
3,32.50537409113712,54.87850344946662,94.82564853172164,0.8538827300150834,3
4,30.596224891654987,49.146785116397616,74.17280516744235,0.8530027027027022,4
5,31.357877762775228,50.17755641983934,76.76807857647178,0.858061214495592,5
6,31.91230339185084,50.80655590325814,73.33836830727063,0.8530634754098352,6
7,31.54789581699493,52.63932178272167,85.65335251944552,0.8578243353783223,7
8,32.5652840886453,50.66014875298799,78.78385542836376,0.8514124749833228,8
9,32.21324796953898,52.078864001082266,75.71968191550427,0.8580354859335028,9
10,31.704475512296646,49.875696025777415,71.63509503712228,0.8534780111179753,10
11,33.95366366964186,53.6800622611252,83.8054559516047,0.8528974800245851,11
12,34.012864888406696,55.19779137449631,87.04523989783944,0.8559297542043993,12
13,32.29543279991958,50.37235714962448,78.07528825422176,0.8545321766561502,13
14,33.01117432893687,51.328303319176726,79.18490853171411,0.8518537267080757,14
15,33.14194046631756,53.25853423493447,85.32281505614809,0.852076440785306,15
16,33.49293797654126,52.4052426226265,81.71167883313387,0.8511368224299052,16
17,33.168445368556235,52.604455462930616,77.00681968979504,0.8497110774818387,17
18,35.128899216182255,56.62179422413126,92.30803229198249,0.8531919616076795,18
19,34.157323143006415,52.75227833433581,76.26494292643905,0.8520868750000022,19
20,34.2750771178475,53.35700595274179,79.14484648786708,0.851527774408733,20
21,35.76417181807202,56.80364221206745,91.8250959915543,0.8505326263256389,21
22,34.90633463600715,56.17434036163708,83.6739418866693,0.8526259536275248,22
23,35.51816968895485,54.18883830345566,78.56407535257765,0.8518892720306496,23
24,34.889285567036964,56.069499759893326,83.2712642056567,0.8500860799999996,24
25,35.45830827629171,55.46202284133137,81.18134304361982,0.8515767722473605,25
26,36.69146748714432,59.238510639974855,89.36581990827244,0.851833968253969,26
27,35.90899697096112,54.3310282070822,79.71918971882336,0.8525467882632828,27
28,36.27339558157415,54.45680263999431,86.73257477533181,0.8490229233226838,28
29,35.87375194547491,55.30545789818296,87.67226755320675,0.8484769999999987,29
30,36.066118129701294,54.734840379164986,80.11659881774985,0.8437811029411758,30
31,36.702750656879225,57.64452245379676,91.20836975376552,0.8464574114244404,31
32,36.843090357299225,57.835615597155154,91.036372356736,0.8489501799855997,32
33,36.70498920604879,58.41345356527961,82.97488395185198,0.8479794072948329,33
34,36.34748380052867,56.44921539168635,94.51633757725116,0.8462322142286157,34
35,37.4276963236217,58.50463222574767,85.82644337356022,0.8469687687687694,35
36,36.58031062483818,56.50983931775101,78.10796665954093,0.8452284410646381,36
37,36.30896021148883,56.28347743072924,80.56173167814707,0.8454238163558122,37
38,37.03414727611664,57.37142193804919,90.69220330861094,0.8431981804397273,38
39,37.00691338460833,56.01290332703352,84.0044718167743,0.845056752767529,39
40,39.14546377562812,62.95874170415574,98.80768144586251,0.8424631652661045,40
41,37.89928362174506,57.58298532660171,83.090407334834,0.842696070878275,41
42,38.50222897513584,60.47127035643933,89.7913660250522,0.8454464912280724,42
43,38.91797779650526,59.1777832077692,90.20788234542783,0.8406974105102819,43
44,38.38847334972315,57.39223737041635,83.63106859275831,0.8418366692131422,44
45,39.109852676378026,59.351874592701776,86.81129853897372,0.8422708333333336,45
46,39.73841198328003,60.87679628863792,89.83597104298661,0.8401973799126651,46
47,39.35209455975578,61.22971623067858,86.23325398208264,0.840986616541353,47
48,38.94030759719413,58.600068580522645,82.76982815468409,0.8405184837545112,48
49,39.387104413172175,59.41933065852424,92.98086151852108,0.8409651289009497,49
50,39.54990310387004,60.17053397186711,86.60013557653419,0.8367506163886868,50
51,40.0200034797009,60.89290673227793,92.72304748968082,0.844182085374388,51
52,39.90672429556395,61.17351124604953,90.4136468410963,0.8441722102231827,52
53,40.6028742365984,61.993776364615066,92.37564802368196,0.8377787690179813,53
54,40.8257909728165,61.9889110929731,90.35997477683505,0.8427169649248377,54
55,41.638819513899165,62.504136720501,91.48940201356146,0.8433434385964932,55
56,40.08463171011584,59.24417274473616,86.75913878021612,0.8396178821879379,56
57,41.23995014004865,63.67765698753855,96.66685525243504,0.8409122448979589,57
58,41.26266817550728,62.37914150286231,92.22404834196004,0.8422541576283454,58
59,41.93519114491619,63.37386113954869,92.19966646112049,0.8405262341325829,59
60,40.04297448509367,61.28695403302306,86.50861272120585,0.8406902869757155,60
