min,d16_mu,d50_mu,d84_mu,solidity,min_from_start
4,31.29809011,45.87645248,70.93491446,0.863144011,6
5,32.46084419,49.08796944,68.73355418,0.865721001,12
6,34.79081116,56.4385038,95.34848389,0.861746019,18
7,33.18642645,49.78980148,73.42215632,0.858072849,24
8,34.30246177,49.58650682,75.28170755,0.857750477,30
9,33.88593631,52.04669781,74.85818365,0.861078207,36
10,35.61667544,53.77873023,75.6930042,0.858911733,42
11,36.31169309,55.54213061,79.69237511,0.860856681,48
12,35.85030725,54.32341684,81.39820855,0.858669364,54
13,36.40939194,54.58104626,80.54303593,0.857705,60
14,37.19861006,55.77237003,79.17936845,0.857285675,66
15,37.83858016,56.05745272,83.35456897,0.854623857,72
16,39.18033262,59.66602634,84.86279961,0.85840566,78
17,38.95324909,57.11500146,78.98565047,0.852270161,84
18,38.7247574,57.45816571,81.95223698,0.857475246,90
19,39.89561705,57.6176208,79.523312,0.855692372,96
20,39.60356472,57.99973601,81.23387487,0.857994469,102
21,41.81430139,58.90244038,78.20222508,0.856927718,108
22,42.74933539,59.09750804,81.77608948,0.852009233,114
23,42.11854587,59.23722569,79.11064852,0.851360063,120
24,43.37506563,64.33347786,95.78248878,0.854639593,126
25,44.59795523,65.04048949,90.55500415,0.853312873,132
26,42.80801918,60.2068653,83.81018719,0.851877759,138
27,44.66867973,61.70248352,78.85467786,0.851056667,144
28,43.97826871,63.01306462,81.54195785,0.849135591,150
29,43.8871958,61.78074557,79.18029632,0.853189082,156
30,45.07398501,63.00663551,95.3893052,0.852727975,162
31,45.56297846,64.3908072,92.75001419,0.852570719,168
32,45.2458266,65.22863974,86.67684671,0.851573544,174
33,44.54354813,63.65665331,81.92193547,0.855481019,180
34,45.10617357,62.86100053,83.1620523,0.849048136,186
35,45.21581275,63.99141568,88.82940894,0.849540874,192
36,46.48847171,63.7747927,90.4114265,0.852769558,198
37,46.64795473,64.25380737,87.28170056,0.853653448,204
38,46.67205906,67.93988437,93.68385729,0.851498988,210
39,45.64828678,63.68025525,88.85238839,0.853428299,216
40,46.24676249,64.18119308,84.20835397,0.852790865,222
41,45.88366827,63.87270651,86.87302328,0.857294343,228
42,45.15111043,62.85092768,82.73678037,0.850655316,234
43,45.57122353,62.43988272,82.26809958,0.856314838,240
44,49.04604152,66.90100477,89.41049755,0.854303945,246
45,46.7759376,64.71748507,89.65851957,0.854514815,252
46,47.37741258,64.92646489,85.05222099,0.857404666,258
47,47.73574781,66.05574934,89.15878613,0.856664297,264
48,46.60110384,64.63741925,86.58044894,0.84926874,270
49,45.83692688,64.32316886,80.9312843,0.853714687,276
50,46.2410016,63.17481083,81.92079642,0.851660983,282
51,45.65889816,61.56042114,81.46990333,0.855539143,288
52,47.24847736,64.2798736,84.84695879,0.855115659,294
53,46.39601029,64.13331252,81.32889998,0.852982253,300
54,46.78805374,63.25610922,86.74495752,0.857857645,306
55,47.75037425,64.89960806,81.26823858,0.85451374,312
56,46.17292683,63.21870104,85.98390462,0.857217846,318
57,46.41279367,62.50909781,82.4363079,0.850857918,324
58,45.80960812,62.72090732,82.07616531,0.856773152,330
59,45.77490091,62.66202316,82.77022422,0.847424077,336
60,44.9766002,62.87742297,87.43399327,0.854828251,342
61,46.51890599,63.03673061,80.75231248,0.851340594,348
62,47.13141212,62.7970977,87.89413698,0.851397409,354
63,45.83197407,60.96803843,81.33842423,0.848036095,360
64,46.2477548,62.57979039,85.80683568,0.855118665,366
65,47.57288631,63.049834,88.21059313,0.852067414,372
66,46.50978076,63.40857913,85.8425488,0.851483183,378
67,45.70697138,60.97419939,77.70391493,0.851495111,384
68,45.32542173,62.18234348,83.63536234,0.853417172,390
69,46.71252079,63.1679453,84.30909428,0.848946074,396
70,45.04173748,58.9600463,77.7503884,0.852043958,402
71,45.31080169,61.29886726,81.25937286,0.860203276,408
72,46.54987285,63.88685348,84.49806722,0.856123994,414
73,45.32757038,61.739483,82.01162107,0.858064921,420
74,46.09478192,61.6018947,81.57966645,0.855677356,426
75,45.72999879,61.74959699,84.71610769,0.85553921,432
76,45.27293251,60.48224435,79.78717914,0.853436466,438
77,45.6097449,60.46277183,76.63499833,0.852278971,444
78,44.99862849,62.74656938,83.01715206,0.852778817,450
79,45.97271146,61.82798031,81.12773119,0.854601983,456
80,45.85139204,60.77601652,77.66697785,0.853635541,462
81,46.3230081,63.43147463,85.28218703,0.854976046,468
82,45.64275412,62.42695906,92.57389777,0.854160057,474
83,46.02793071,59.8379763,85.08201069,0.851431788,480
84,43.73201257,59.10655183,80.63734136,0.849453285,486
85,45.8059733,63.22840486,81.3831237,0.8557816,492
86,45.39755019,61.85600247,86.84188755,0.858811283,498
87,45.23729753,60.82906894,78.34258883,0.856045109,504
88,45.18515581,60.60584607,84.78070138,0.854647486,510
89,46.68315413,62.43337489,84.76299068,0.854266848,516
90,44.83568284,59.95360761,81.21610285,0.853655937,522
91,45.90269372,61.70017502,86.8566346,0.858688196,528
92,45.26526099,61.64234348,81.53307612,0.856665546,534
93,44.94490986,61.13458681,81.67078832,0.852105056,540
94,45.67847836,59.36236914,78.39141587,0.852988092,546
95,45.47561235,62.16291039,81.70396879,0.852847126,552
96,45.2277434,61.47192557,84.82188718,0.856119842,558
97,45.73548302,62.650063,84.37790512,0.855825477,564
98,45.13838216,60.38474233,79.06724931,0.856372557,570
99,45.7342589,60.09271117,79.08047175,0.854279462,576
100,46.04664927,62.50115953,87.03733246,0.855347878,582
101,44.80817045,61.52964295,82.96715477,0.854873161,588
102,44.29276065,59.46572467,77.6148563,0.856044552,594
103,45.13650043,64.14161673,87.24550451,0.856203083,600
1,46.37775409,61.18197171,83.14336425,0.853396744,601
2,45.52940846,62.42755236,85.07524471,0.86232804,602
3,43.90785837,59.72001009,79.24352197,0.84873598,603
4,46.60528409,61.56833488,84.80993641,0.856123971,604
5,45.82875036,60.79717227,79.46507155,0.854840821,605
6,43.82394355,59.73943983,82.09239303,0.856825587,606
7,44.87147601,60.49694911,80.35892418,0.852499558,607
8,45.23798054,60.65167462,80.24261283,0.855002222,608
9,45.14680207,62.01790682,80.6021006,0.857577979,609
10,45.18631526,59.48407981,83.8431952,0.85188072,610
11,44.71280846,60.56761874,80.6099426,0.849300957,611
12,47.39252768,63.25699447,82.07008976,0.855095249,612
13,44.75451662,60.39399883,80.25145514,0.85704069,613
14,43.34251332,57.92863609,78.01297872,0.852129902,614
15,44.0932176,58.4118124,80.2324202,0.851842765,615
16,44.86273123,60.52205297,86.42632628,0.860604615,616
17,44.95782806,59.17131611,85.64275263,0.852425185,617
18,45.34857527,62.76977253,85.85083539,0.854786848,618
19,45.41423482,60.53052177,82.23776942,0.853577011,619
20,45.88876918,60.56656442,87.26021576,0.850237589,620
21,43.77687522,58.56517113,78.70577539,0.854969444,621
22,44.82012281,63.09239089,86.0422012,0.854321169,622
23,46.24066269,61.02063807,81.43340438,0.858316193,623
24,45.43620175,63.49657968,82.51076641,0.853021287,624
25,45.3048316,59.78530418,76.3210345,0.848945221,625
26,46.24125356,63.16489686,84.60988681,0.855198864,626
27,46.52821494,60.59515225,82.00250378,0.85250186,627
28,47.21542252,63.59420103,86.71923468,0.85553913,628
29,44.94460982,60.10867931,79.56618851,0.852107731,629
30,46.58458208,64.09191798,91.50923227,0.854933259,630
31,44.20859569,58.10760478,78.67730196,0.850953494,631
32,45.59637952,62.41248903,86.91040635,0.857627169,632
33,46.13157353,63.34992126,81.11173438,0.854157373,633
34,45.001134,60.67018154,81.00425606,0.855159765,634
35,45.05639275,61.85100917,86.61776007,0.854820142,635
36,44.73419785,59.98990012,79.51124524,0.853885811,636
37,46.07511939,62.08458335,86.04366866,0.848967123,637
38,45.20914286,59.17766841,76.76031697,0.851150498,638
39,44.07556037,59.63941252,84.31002932,0.851053319,639
40,45.82130587,61.96180138,84.34393414,0.848784479,640
41,46.54282708,61.95690867,79.54734592,0.849780241,641
42,45.93292643,61.11057548,80.61938632,0.848894175,642
43,43.62487304,59.03006915,77.82387118,0.857320466,643
44,44.76250231,60.5582271,85.66046138,0.85096087,644
45,44.86581616,61.92965277,82.12804574,0.854378767,645
46,47.38330191,63.28918575,83.51103054,0.852833853,646
47,45.38099586,62.73368099,84.91890444,0.852490935,647
48,43.19381954,57.54147721,77.94422467,0.852208293,648
49,47.26307998,62.24998653,82.77220002,0.852363409,649
50,44.75261209,60.05888971,83.54947051,0.854077889,650
51,44.77691155,61.47088335,86.76597704,0.852549497,651
52,43.74334611,57.85167594,76.43417069,0.853384065,652
53,45.52271086,58.84782724,77.26301609,0.858121226,653
54,46.79200741,61.8598147,91.02902378,0.85050297,654
55,45.65470996,60.43408502,84.43945569,0.859411081,655
56,45.21517455,60.36146007,84.59374866,0.849615455,656
57,44.16614562,59.79427394,83.24177507,0.853664789,657
58,46.25921666,63.36145941,82.05284056,0.852344844,658
59,43.92316624,60.37233416,77.7523605,0.855408621,659
60,45.24786968,62.16924794,83.08968261,0.85365473,660
61,44.39132812,58.0636677,75.57128859,0.855778733,661
62,47.50689048,62.90123696,85.59485254,0.863169176,662
63,45.6839898,62.10884272,86.06063827,0.85184399,663
64,44.40658693,60.21768309,88.54842636,0.854198462,664
65,44.97294375,60.47029101,77.55059857,0.856394805,665
66,45.46584401,61.87127179,81.5434021,0.85408833,666
67,45.81457746,61.62530962,81.57338873,0.854500998,667
68,44.01784894,56.68506043,81.36121519,0.856433898,668
69,45.15447323,59.1247942,80.66839596,0.855163554,669
70,48.24902256,64.36157238,89.88368728,0.853808115,670
71,45.16385479,62.37990972,86.35195341,0.847342217,671
72,45.38233795,62.32812118,78.64940747,0.851895186,672
73,46.5486214,61.54809648,84.42461569,0.8544,673
74,47.65733287,64.56698308,86.83469481,0.850356532,674
75,43.77649116,58.03529537,80.87586766,0.85185677,675
76,45.59317746,61.96813829,80.37167986,0.856307398,676
77,46.55724542,61.25299478,83.83614158,0.851918269,677
78,46.21662326,60.48247811,81.65622186,0.856994186,678
79,45.42339008,61.31768321,84.03845152,0.854262287,679
80,46.36690484,61.49716863,82.37951352,0.854464768,680
81,46.27160255,61.71841807,79.17533402,0.856094762,681
82,44.63727677,60.20707949,79.14333162,0.847771322,682
83,43.68872134,59.3694263,78.29073593,0.856590889,683
84,45.88390822,60.74174174,81.06811518,0.850993375,684
85,46.94242495,62.94182048,78.81370783,0.85888797,685
86,44.4313306,58.67393279,78.95328998,0.853197921,686
87,43.63800658,57.74990256,79.80396974,0.858989749,687
88,46.11761743,62.74610897,85.31059496,0.85368009,688
89,47.00044276,61.95262891,85.45076614,0.850080808,689
90,45.33392046,61.1439026,81.55438783,0.850226064,690
91,44.98797271,59.9772402,81.53590213,0.859450585,691
92,44.49533533,61.92811558,83.54208386,0.849798477,692
93,45.58254482,61.0410489,84.98296855,0.857042417,693
94,45.23211367,61.87967275,85.06633045,0.852544276,694
95,44.68943681,60.20920873,77.48829661,0.853095056,695
96,45.72882958,61.21456201,82.93928865,0.852449877,696
97,44.71884675,59.40727834,81.80593946,0.851728276,697
98,44.18908167,58.79101256,79.20425515,0.851811494,698
99,47.12834212,63.46124971,86.53856619,0.853337444,699
100,47.04887715,61.35232087,92.74924847,0.861023618,700
101,44.95075116,58.56787477,76.62784681,0.856392732,701
102,45.00660894,60.38934422,79.54960772,0.857833708,702
103,44.77862322,59.3790814,79.1498637,0.853425688,703
104,46.45081193,64.13604025,90.39317913,0.859827184,704
105,46.57920706,60.55585423,78.79675855,0.853830588,705
106,44.86605136,61.27554457,85.14693224,0.853170149,706
107,47.59168339,61.75950192,88.82272376,0.857356144,707
108,45.44490183,58.64418813,78.80180379,0.858809535,708
109,44.54648629,59.20486088,76.10569876,0.856846914,709
110,45.1982084,62.4568588,84.303078,0.850397964,710
111,44.49495483,60.07143629,78.7135737,0.850707483,711
112,45.4915153,62.32576205,81.91200777,0.848289136,712
113,45.06660151,60.19830405,78.92585085,0.856457857,713
114,44.09495047,59.24659191,79.49210491,0.851716512,714
115,47.89954195,63.97728755,86.92421973,0.850557611,715
116,46.24546265,63.22372738,88.10902453,0.852933943,716
117,45.46158729,61.11902986,82.65534605,0.856264078,717
118,45.68184064,64.61097069,96.84480535,0.851654713,718
119,46.00244279,61.57196309,80.84541021,0.856507822,719
120,44.35432901,59.72046978,79.74828004,0.856226437,720
121,45.25157517,60.6243348,79.71149101,0.849924074,721
122,46.17484855,61.31720747,79.47988896,0.857765882,722
123,46.22517824,62.49734735,85.88392458,0.851887354,723
124,44.72501768,59.17553488,76.55056248,0.852285901,724
125,45.70857164,61.78871634,85.68720507,0.852936552,725
126,46.55891145,61.59388876,79.04928915,0.857585851,726
127,45.75278635,63.64346285,82.91325184,0.856829594,727
128,44.34526159,58.74888493,81.34033868,0.853937255,728
129,46.23932564,62.03680771,82.8233005,0.853516038,729
130,45.7433778,62.74243873,83.80843709,0.860629412,730
131,45.57319909,61.49990399,82.33485489,0.847795972,731
132,46.12521835,61.93905596,86.43952856,0.854465589,732
133,46.65066127,62.81447191,79.98483765,0.8523125,733
134,43.24344689,58.34414511,79.54708066,0.853138095,734
135,46.69516431,65.47172403,90.69471665,0.858979365,735
136,46.25625565,61.50125944,84.45257284,0.84682457,736
137,45.8522425,61.44363027,86.42736112,0.851962192,737
138,45.94428114,65.79137437,85.44821683,0.850981407,738
139,45.03191749,57.91275607,74.57314819,0.855078947,739
140,45.44254229,60.9273743,82.48778978,0.850895588,740
141,45.34667197,60.81673977,83.96531082,0.850467467,741
142,46.2403679,60.03267325,76.84769444,0.854860515,742
143,46.26521611,60.1534395,78.55751772,0.85200068,743
144,44.48890392,60.61457629,87.29189561,0.853536038,744
145,45.02048408,60.37201572,84.17153768,0.853538568,745
146,45.62807689,61.74588427,82.95056074,0.855655804,746
147,46.42087469,59.96192682,86.97707378,0.853331785,747
148,43.82057934,58.23790064,74.20608755,0.854415232,748
149,45.23829038,62.22838668,88.8482696,0.857420089,749
150,46.17948233,61.98979978,83.1897274,0.854884864,750
151,44.33852992,57.57815164,76.15464621,0.849424105,751
152,44.40537347,56.81645065,73.93530905,0.857524726,752
153,43.16599228,56.43757813,71.50305763,0.852089831,753
154,44.79857311,59.27332592,81.6507173,0.852555628,754
155,45.64697009,59.54813937,85.91760484,0.855438851,755
156,45.15541001,63.45186793,90.72053383,0.851160095,756
157,45.16759826,59.1328896,76.82853274,0.850666121,757
158,44.35471379,62.11432034,86.33448648,0.85726259,758
159,45.98073436,61.79084388,86.90130143,0.854768706,759
160,44.33486884,58.29263689,77.84777289,0.851739618,760
161,45.63563792,62.96597653,83.37910417,0.851367401,761
162,44.96325696,60.64009849,79.56922337,0.856915065,762
163,44.28980702,60.45178855,84.77790405,0.85858555,763
164,45.99722774,62.2706133,81.58871618,0.853211497,764
165,46.00430776,60.25824711,87.77300943,0.858093925,765
166,46.55030326,61.5702792,87.97863662,0.855822803,766
167,45.52098473,62.80240606,84.8347793,0.857670396,767
168,44.79308638,60.10804851,82.79270057,0.852237705,768
169,46.60285473,62.85525218,82.41809283,0.856898915,769
170,47.63273752,64.57764545,87.64001744,0.853570812,770
171,46.74663984,63.54033069,83.91798336,0.852860309,771
172,43.2506205,57.09731823,77.4930728,0.85260257,772
173,45.51015235,61.66107278,81.95683801,0.856348472,773
174,46.38850707,61.87737247,82.48921254,0.850548506,774
175,45.02639197,61.0982865,93.80780241,0.853743921,775
176,45.68752619,61.11296384,85.69430266,0.849767381,776
177,45.3139937,59.97639717,78.54521703,0.848140793,777
178,46.23051042,62.35626407,82.67361616,0.852801322,778
179,46.44589977,58.99355342,78.20442261,0.85280489,779
180,46.61364417,62.16517064,84.92296457,0.854230244,780
181,48.20076736,62.82368179,87.09778944,0.851340943,781
182,43.54143589,57.94112498,75.89704197,0.851202445,782
183,45.74132961,60.41806678,77.27785976,0.851713859,783
184,44.71772742,59.09069901,80.12883326,0.862870263,784
185,45.99451541,62.15646799,81.99324101,0.850998985,785
186,46.96546989,62.0146276,84.40140634,0.85784,786
187,45.00258149,59.06833372,78.06166292,0.853244941,787
188,44.7800814,61.02961275,86.2830954,0.85527109,788
189,45.28745704,64.20128715,83.5159074,0.859053531,789
190,44.73975949,59.75871188,78.6248839,0.855109204,790
191,43.7998439,58.80580872,79.35946825,0.860323239,791
192,45.17907172,61.12295149,83.54645545,0.858394977,792
193,44.7099914,61.4632892,81.05539595,0.852766341,793
194,45.21219292,59.92618708,80.28304426,0.853296682,794
195,44.4879738,60.93637019,84.75952407,0.858836364,795
196,45.99495839,64.41028217,83.45101555,0.855211494,796
197,46.25490454,62.99574732,79.54900351,0.853648039,797
198,44.74806333,60.08206933,83.42247338,0.854752459,798
199,44.04473284,58.07464658,78.76365737,0.851722222,799
200,47.08640707,62.37392077,86.90578772,0.855325653,800
201,46.83587952,63.55714135,84.79900604,0.851794045,801
202,44.91245155,59.97531446,76.26817283,0.854620732,802
203,44.84040715,58.97957257,79.26380117,0.855879805,803
204,46.28428098,60.26212035,85.21033755,0.863544468,804
205,46.46109938,65.13088021,87.807458,0.852902206,805
206,44.39624345,61.12185021,83.57343269,0.852105721,806
207,45.99623612,62.69351925,86.29993005,0.850359589,807
208,46.96667181,61.63227544,80.04838367,0.856803095,808
209,46.88567298,62.41852558,82.07989106,0.854032741,809
210,44.56951664,60.20803663,82.11761339,0.850069425,810
211,46.38884493,60.26513144,78.60455934,0.850859955,811
212,45.12740704,59.43949526,78.50182946,0.85125775,812
213,45.1099399,59.43684792,77.10768587,0.854300955,813
214,45.31974622,61.75427211,80.3417305,0.844947727,814
215,44.91017973,62.37356916,89.02987784,0.861162037,815
216,47.81303468,63.31827317,84.70693227,0.853092822,816
217,46.07780879,61.61628425,81.47060112,0.853247458,817
218,45.80617829,60.76824254,82.75956844,0.855921478,818
219,45.5401361,61.35320449,90.79315598,0.850803415,819
220,44.71599054,60.48027334,84.33098072,0.856165176,820
221,46.01569592,60.58905066,77.90621627,0.860701602,821
222,44.90221171,60.59746396,76.68953804,0.852522222,822
223,43.55787402,57.46548673,79.07464028,0.855255448,823
224,45.02187763,61.12307337,85.78058533,0.859505322,824
225,44.92781542,59.43420851,78.25731627,0.858633409,825
226,45.56649015,61.63082181,76.51211736,0.862346028,826
227,45.70142566,60.76738392,83.39658356,0.8502,827
228,44.76448012,60.98620826,82.12232138,0.853912911,828
229,44.06203579,58.89323162,84.08696258,0.848540133,829
230,45.73701215,62.79537638,83.0890179,0.851736036,830
231,45.89050922,62.59226462,83.10192088,0.857680324,831
232,47.22232318,64.70610859,88.48801338,0.854443427,832
233,44.43630799,59.22973314,75.81059065,0.851123937,833
234,43.67229832,60.05916261,78.43299754,0.85158627,834
235,47.60846595,67.70925601,96.21098405,0.853901373,835
236,46.12423835,62.58084096,88.94237974,0.854883455,836
237,46.78534851,63.37722389,86.62504786,0.856795302,837
238,45.03364277,58.8337051,87.56831207,0.853032151,838
239,46.83351846,65.54981978,89.72736895,0.856029977,839
240,46.83351846,65.54981978,89.72736895,0.851263341,840
241,44.61019493,59.81939456,77.57398257,0.851263341,841
135,44.42170359,60.40700239,78.74278176,0.858522711,842
136,45.80292567,61.71745438,84.11372915,0.852532393,843
137,45.25848886,61.11999838,83.0489858,0.855033905,844
138,44.94520854,60.14892073,79.66061416,0.855437069,845
139,44.95992527,61.14322972,81.09404185,0.854809135,846
140,45.31192474,61.21623132,83.66979122,0.856208619,847
141,45.70664316,61.25818085,81.71360556,0.849430496,848
142,44.39771193,59.72727966,79.32729328,0.856401145,849
143,44.2282973,59.08163328,81.73761124,0.851794084,850
144,45.3177137,61.86057548,87.83137929,0.858273303,851
145,45.67802114,60.76745144,84.75272364,0.853798629,852
146,44.31441153,59.52660586,80.34626445,0.851583172,853
147,45.86467843,61.4589214,83.10900014,0.856770656,854
148,45.57730306,62.62672639,81.69662492,0.851589588,855
149,46.60759869,62.27974914,84.01360405,0.85295338,856
150,45.8173322,61.32518272,85.78320327,0.854354279,857
151,45.09465585,61.18062452,85.59519984,0.852508061,858
152,45.67611845,62.36589992,80.50233768,0.855424714,859
153,45.01045288,60.78607889,82.29166111,0.855864754,860
154,45.49372002,61.10465814,82.23811499,0.851637472,861
155,44.90766356,60.22742036,83.19854447,0.850499884,862
156,46.51768341,61.67555268,82.5549199,0.849583217,863
157,44.37723889,59.42513241,81.33097209,0.852699136,864
158,45.72087854,61.98344621,83.50043133,0.852233873,865
159,44.54932236,60.63937925,82.44457288,0.852924058,866
