min,G_Hz,S_ppt
0,50,0
60,50,0
60,205,17.2
90,205,17.2
90,95,17.2
150,95,17.2
150,50,17.2
210,50,17.2
210,20,17.2
270,20,17.2
270,50,17.2
330,50,17.2
330,95,17.2
390,95,17.2
390,50,17.2
450,50,17.2
450,20,17.2
700,20,17.2
