min,d16_mu,d50_mu,d84_mu,solidity,min_from_start
4,36.99913452,58.58683937,87.67148876,0.838519974,6
5,36.83935647,57.8473339,87.76306896,0.83982691,12
6,36.6635667,57.9640188,83.3822634,0.841232225,18
7,37.51444739,58.75965466,86.93833916,0.839933221,24
8,37.71846859,59.31864205,89.57308463,0.840089428,30
9,38.35532999,59.12001262,92.85279485,0.839484652,36
10,36.47041829,56.15420954,82.51549091,0.837005819,42
11,37.48055231,58.17562198,88.34965026,0.837761913,48
12,37.24617671,58.36266941,84.58117652,0.838801418,54
13,36.63817762,55.20678743,81.24809648,0.838540806,60
14,36.84422883,58.42106819,89.44537796,0.841422571,66
15,37.20248273,57.13256049,89.37737055,0.839744384,72
16,37.5223409,59.41694815,94.07767867,0.837061602,78
17,37.10421213,57.53755419,85.76505546,0.838103845,84
18,36.6489651,55.92516129,84.0782043,0.841576368,90
19,37.65320177,60.01153167,87.86028538,0.839627404,96
20,38.21621273,58.95620891,88.76737993,0.83708334,102
21,37.26722437,59.06316586,85.94425852,0.839450739,108
22,36.5206757,56.82466335,80.50307375,0.837906867,114
23,36.77580856,56.74970871,85.395333,0.837055814,120
24,36.26866643,56.0261211,81.9757666,0.839678462,126
25,37.10895081,58.41978471,91.15888103,0.837707899,132
26,38.10868111,58.49749853,89.24808697,0.838657578,138
27,38.23905549,61.28482551,98.18196805,0.837623407,144
28,37.23374427,58.41746602,86.18446488,0.837558728,150
29,36.58735122,57.86454779,85.54432867,0.839855405,156
30,36.78030776,57.60117394,87.81567724,0.839421122,162
31,37.29107225,57.9749982,85.28405167,0.838783967,168
32,36.30824225,56.36092137,83.65794547,0.840721123,174
33,36.1580462,56.58939758,81.16468367,0.839159179,180
34,37.61353854,59.13027343,89.30097796,0.838403964,186
35,40.93474406,70.33018525,338.0319647,0.837049085,192
36,36.71546452,56.18711075,83.81982012,0.836756834,198
37,37.70994832,59.73642577,87.16465724,0.838905542,204
38,37.06398969,56.68172156,84.62575855,0.839154443,210
39,37.17324576,59.27993876,87.02430612,0.837134026,216
40,36.86347455,56.12141436,80.94047496,0.840916787,222
41,37.27072798,57.69211653,84.12028427,0.835436104,228
42,38.16644404,60.79137251,90.0560165,0.835568058,234
43,37.53972223,58.668044,93.65754044,0.837094758,240
44,37.6020707,58.3944017,89.2831661,0.837701682,246
45,37.31617261,58.10141141,86.38020567,0.83752473,252
46,37.66143434,58.74122959,88.06991234,0.838847997,258
47,38.50166077,60.24748984,90.45211102,0.837183493,264
48,37.7797225,57.9356894,85.43681299,0.835135068,270
49,37.68074591,58.99767298,85.93010696,0.837969834,276
50,37.59636182,58.78301857,87.87697155,0.837057819,282
51,37.18469261,58.58922688,84.77823114,0.835899879,288
52,37.61734908,61.16386405,94.5938271,0.836997385,294
53,36.38051663,56.50859912,82.10401381,0.835708361,300
54,36.31448342,57.60488176,82.96864823,0.838325896,306
55,37.41218646,58.37259392,85.39817229,0.837100116,312
56,37.08472928,57.25573737,83.38445707,0.835478865,318
57,37.66548962,59.00784654,85.45310417,0.838401443,324
58,37.78568979,58.78141786,91.0831339,0.835498558,330
59,37.61061011,59.10612069,91.73345835,0.839062426,336
60,37.24395058,56.75278668,87.22800594,0.836672191,342
61,38.0350226,58.74970889,91.88365912,0.83519634,348
62,37.51885003,59.54057078,88.71189859,0.835435857,354
63,37.70291721,59.85613713,90.1641719,0.836752111,360
64,36.6359886,56.35034905,81.0164474,0.834094764,366
65,36.87241886,58.12844993,89.15993358,0.836389523,372
66,36.76085872,56.84973541,82.66693027,0.836393109,378
67,37.49112887,58.79445191,89.78268387,0.834857489,384
68,37.35036574,57.07025744,85.60389099,0.835164772,390
69,37.49142218,57.94524625,86.14882579,0.834978288,396
70,36.90134824,57.46551545,84.46184441,0.834291889,402
71,37.87993439,58.3363811,88.14003007,0.835461421,408
72,37.68123498,58.79664153,86.10886599,0.835691964,414
73,38.10520947,60.58284435,95.35666909,0.836418535,420
74,37.87520123,58.39722623,86.61654077,0.835256011,426
75,38.46390443,59.67226648,87.88536889,0.835678814,432
76,36.96173756,57.85310107,84.7778941,0.836891801,438
77,37.46667995,58.70628361,87.73345721,0.839344504,444
78,36.78748373,57.36995034,83.85275541,0.837529517,450
79,36.70082756,55.94981399,81.04869984,0.838707037,456
80,37.36457668,58.52970294,86.24306748,0.838065591,462
81,38.0999748,61.71104974,94.70592014,0.837822481,468
82,37.98615945,59.01061049,88.93838656,0.838775858,474
83,37.92040873,58.31979328,88.9039166,0.835450648,480
84,37.75675145,59.2668288,85.25804994,0.837497803,486
85,36.99977248,57.35258331,85.19140982,0.837417202,492
86,37.78559635,58.49976695,85.42332565,0.834839993,498
87,37.37351523,57.50768979,85.52723447,0.83408167,504
88,38.03887529,58.59532691,88.50824561,0.836591375,510
89,37.26906024,56.40737494,83.5852844,0.837345702,516
90,38.51105118,60.43902593,87.07159907,0.836054168,522
91,37.85121669,59.68985883,91.43456128,0.836240298,528
92,37.96335923,58.86545187,86.9939374,0.836209996,534
93,36.57868602,56.87132485,83.66851528,0.835896865,540
94,37.68433104,58.27750914,87.2922346,0.838554126,546
95,37.32077067,60.06245076,89.60695854,0.834981059,552
96,36.78613228,56.91021838,81.97069965,0.833955733,558
97,38.44917179,59.59030721,91.72240893,0.835749475,564
98,37.25018197,58.65653347,84.58407653,0.835221349,570
99,37.39845457,58.0453275,88.86333598,0.838796383,576
100,37.71061121,58.71669638,86.97314173,0.838722491,582
101,38.73805845,61.20687299,88.22405834,0.836859421,588
102,37.9095093,58.45895184,86.29068193,0.833770893,594
103,37.52671129,57.34531661,83.57823259,0.836562773,600
104,38.09483789,61.29997236,89.54850486,0.835770041,601
105,37.09239771,57.57289275,89.00905942,0.836953341,602
106,37.06025481,57.57082746,84.39885125,0.837247122,603
107,37.5827048,60.54095089,86.79976268,0.835555959,604
108,37.95043559,58.89425577,87.41317032,0.838993898,605
109,38.16015064,60.64139862,86.73440117,0.834706386,606
110,37.05876571,57.80478413,85.41339755,0.832949666,607
111,36.61994054,57.20973201,81.99948423,0.835402245,608
112,37.5011059,58.52083168,86.92401974,0.838431542,609
113,37.0890333,57.43621113,81.05618687,0.837906393,610
114,37.11220767,57.88490785,85.04215886,0.836950665,611
115,36.75097191,56.06824102,82.7068464,0.834496121,612
116,37.34971737,57.64029029,85.4418624,0.836690563,613
117,37.33401975,58.1998023,87.04702617,0.837825892,614
118,37.08899574,58.65659651,84.65336924,0.838395654,615
119,37.16533086,57.52847032,83.77707674,0.840073052,616
120,36.70985638,58.09304129,91.83470758,0.836345991,617
121,37.95393315,58.56955653,86.15908931,0.835971735,618
122,37.17188768,57.55406859,82.1743804,0.836418743,619
123,37.5701538,58.82050131,85.69388543,0.83837035,620
124,36.37010535,56.65600859,83.71034465,0.838029214,621
125,37.16486614,58.06723071,86.03729914,0.839174768,622
126,36.94103242,57.12245397,82.14788898,0.83717433,623
127,37.32441647,58.59368324,85.62239736,0.83873211,624
128,37.73830754,58.80263315,87.21926884,0.837596713,625
129,37.51084048,58.62460026,85.84022797,0.836100709,626
130,36.87715306,57.75435798,83.61918387,0.836888288,627
131,38.36142094,60.64555352,88.11148667,0.837222142,628
132,37.73682493,60.22211049,86.45246667,0.835982324,629
133,37.35783149,56.63354362,83.67974834,0.834069396,630
134,37.21965631,58.61237478,88.29430201,0.838432706,631
135,37.05652948,58.7837303,88.25543399,0.836524572,632
136,37.63250823,58.41840698,91.55285036,0.837947205,633
137,37.90337207,60.02420428,86.3321701,0.837642483,634
138,36.9992207,57.50261892,82.9313944,0.835325866,635
139,37.03283412,57.08019333,84.54209625,0.83798302,636
140,37.52001874,57.37722834,87.83229982,0.836024256,637
141,36.98396105,57.64798317,82.61877251,0.838247983,638
142,37.45573843,58.36587638,87.83187249,0.835381792,639
143,36.91379102,56.59446869,82.10574704,0.837087155,640
144,37.66180207,58.76244851,90.56562136,0.838304385,641
145,37.72869078,60.1188128,91.78287795,0.836528961,642
146,37.57895158,57.32479018,84.90893912,0.838509531,643
147,37.8087103,60.43793638,87.77913123,0.835420633,644
148,37.57910921,58.60751535,84.05002028,0.83702086,645
149,38.02663091,58.58491657,87.62840768,0.836023561,646
150,37.21068385,57.2149451,83.65025885,0.83623591,647
151,37.92497635,59.75607802,89.17478019,0.838549511,648
152,38.94534121,59.80573523,89.16079454,0.837292917,649
153,37.43787927,60.56277401,90.56694351,0.834507081,650
154,37.96513354,59.78243832,86.50530222,0.839405296,651
155,37.3884982,57.77658216,82.55735659,0.833605749,652
156,38.20093606,60.01280635,86.99619072,0.836103393,653
157,36.92406895,59.31649344,83.9374499,0.835210568,654
158,37.3720849,59.17960993,84.75070958,0.837759483,655
159,38.58847366,61.25628272,87.96197323,0.839099237,656
160,38.67847025,60.70761057,90.00994506,0.837076035,657
161,36.74943275,56.09118935,80.19580947,0.838382132,658
162,37.03486463,57.1455968,83.54845537,0.839108854,659
163,37.4998141,59.74035727,89.91738947,0.837794639,660
164,36.611109,56.6502256,87.54433595,0.838164129,661
165,37.36849029,58.85894817,84.6075019,0.83824645,662
166,37.43782063,56.92268137,84.11770593,0.834877145,663
167,37.78962864,58.88353971,86.29291036,0.836161681,664
168,37.90959497,58.57116973,86.35081176,0.837997464,665
169,38.48567143,63.17197219,99.68048869,0.834726507,666
170,37.71866807,59.93139769,86.53043585,0.835532227,667
171,38.15496712,59.63076671,88.87269959,0.836830328,668
172,37.2892516,58.8201233,88.01294999,0.836834435,669
173,37.24506679,57.09681836,84.76105541,0.837322622,670
174,38.08691947,58.60400706,83.71760298,0.839052956,671
175,38.00599781,58.03012473,85.12236864,0.834664631,672
176,37.79352391,59.17967184,89.26946035,0.836251105,673
177,38.04014844,59.39359629,91.51601072,0.836652383,674
178,37.52967744,58.94649503,86.81284341,0.836801868,675
179,37.72734604,57.40233013,89.19627031,0.837609286,676
180,37.16750222,57.92854241,83.78987242,0.835077228,677
181,37.69764144,59.2872214,85.90054266,0.837154139,678
182,37.35779664,58.52050144,86.58897514,0.835379153,679
183,37.41578841,56.77707738,84.64267535,0.838764027,680
184,37.21742679,57.5091849,87.35381293,0.837224759,681
185,37.41017645,57.08571411,86.43730331,0.835425835,682
186,37.3981181,58.37405933,87.14641147,0.839099855,683
187,36.92782865,59.36066777,89.21079307,0.835008732,684
188,37.41193028,59.66507727,87.30398832,0.836763662,685
189,37.29477151,58.37986315,88.78683041,0.837190961,686
190,38.09970147,59.17965731,86.27679663,0.836292099,687
191,37.16043326,57.93924657,85.98899674,0.836938544,688
192,37.16161663,58.15482852,85.12388099,0.837130504,689
193,37.48110611,57.34479752,85.88375832,0.83609843,690
194,36.75479693,56.74301525,83.73385125,0.838645884,691
195,37.81222336,58.28297352,86.88005605,0.838115243,692
196,37.99578057,60.12143848,86.78309534,0.837702866,693
197,37.92388082,60.39038564,91.6290731,0.835898532,694
198,36.56493151,57.31067466,84.23027605,0.839512944,695
199,37.26734923,57.41471753,84.06144756,0.837969051,696
200,37.47075211,58.68659707,89.2100684,0.836894704,697
201,36.92063771,57.66572273,84.0590812,0.836021283,698
202,37.41876764,59.4671291,86.67580976,0.837408053,699
203,37.86404467,57.7364152,84.32427774,0.83773798,700
204,36.94985263,57.1827929,86.13339455,0.837079657,701
205,37.42967858,57.88892076,82.91218134,0.839348865,702
206,38.35185886,59.03280163,88.97609108,0.835404162,703
207,37.90154197,60.1103675,92.40368621,0.836461618,704
208,37.32322292,58.5468683,86.63642577,0.836679345,705
209,36.79872906,55.59910408,82.12443342,0.837652413,706
210,38.32179275,59.21068262,85.26505169,0.835515117,707
211,36.81145582,57.16276086,81.56690867,0.83461205,708
212,37.57698014,58.62610827,87.8815233,0.839108464,709
213,38.01161446,58.28941226,84.64873719,0.838189868,710
214,38.73836965,60.54578401,89.91767138,0.832637408,711
215,37.5457444,58.48542967,87.73534073,0.834924954,712
216,37.97918701,58.29522538,84.54333149,0.836912761,713
217,37.6180082,57.48084904,85.62984682,0.83700184,714
218,37.59255227,57.68761448,86.69701235,0.836458291,715
219,37.25273705,59.57998135,87.05128609,0.837215398,716
220,37.1936216,58.01356496,83.56379547,0.836362159,717
221,37.16191783,58.08001639,84.8200313,0.835146402,718
222,37.37690987,57.27431786,84.11947138,0.837726818,719
223,37.88704264,59.66628245,88.65911034,0.837738772,720
224,37.12001528,58.39155062,85.14245195,0.834731882,721
225,37.27953002,57.71765644,84.7557632,0.837761357,722
226,37.08989301,58.86713792,84.4207151,0.837558755,723
227,38.28491951,60.45391106,92.28372996,0.836755257,724
228,38.06003661,60.77371032,94.85957793,0.83856323,725
229,38.06655987,60.33675304,92.96294244,0.83692641,726
230,37.30231449,57.27229944,84.34023798,0.840246672,727
231,37.55203718,59.21541347,86.48456284,0.837561911,728
232,38.09001513,58.80743455,87.26925779,0.83652367,729
233,36.86113903,57.31210307,83.55997641,0.839050606,730
234,37.15608057,58.67174491,85.41324807,0.839273098,731
235,37.41705506,57.98798661,87.99574127,0.837482513,732
236,37.73030854,59.47701808,84.77356595,0.836158721,733
237,37.25100888,58.94284219,89.33405714,0.837399613,734
238,37.3058639,57.65737523,84.01253922,0.839632811,735
239,36.98045707,57.04119679,79.98940439,0.837459306,736
240,37.82297359,59.17829323,86.46403959,0.837129242,737
241,37.12239336,57.95535277,88.81368177,0.836877915,738
242,37.18627068,58.40959206,87.43059404,0.838037243,739
243,37.05288641,57.96862108,84.20762493,0.84075352,740
244,38.42486013,59.77179483,89.73165946,0.839043325,741
245,36.9787305,57.7293097,84.71370946,0.836817037,742
246,36.52034398,58.42492205,86.01156835,0.838664484,743
247,38.46066369,58.5340403,85.03673321,0.837609498,744
248,37.41113315,58.27947353,88.84125907,0.837259298,745
249,37.68450172,58.86145363,87.00655426,0.839328296,746
250,37.38943612,58.22229577,84.28517648,0.836276934,747
251,37.56286071,57.64345776,87.81315913,0.839275213,748
252,37.77353952,58.77813179,87.10469193,0.837146305,749
253,37.39352991,57.56204259,83.73005446,0.838765833,750
254,37.73846852,59.57322559,89.00022214,0.838749224,751
255,37.87070931,59.33016781,89.61374694,0.834438243,752
256,37.51111853,58.0782435,90.21175765,0.83819655,753
257,37.75396779,59.25088262,88.94066247,0.838553456,754
258,37.65012923,59.12269019,87.53516034,0.833502556,755
259,37.56070231,59.30116091,86.7124955,0.838826021,756
260,37.6408949,59.50867806,88.49306542,0.838372853,757
261,36.91017647,57.58574378,85.3617195,0.837658285,758
262,37.21818518,57.72118748,84.02580303,0.840120795,759
263,37.24328744,57.97270443,82.99489431,0.837970915,760
264,38.04562696,57.98764813,86.83825506,0.838970363,761
265,37.96320703,59.9258194,86.15831807,0.835548451,762
266,36.735384,58.75966808,85.7646817,0.835836814,763
267,37.27455741,56.69033423,83.20062952,0.838024718,764
268,38.18814882,60.57147828,87.88953853,0.836173876,765
269,37.33039275,57.86130244,85.48668768,0.837030601,766
270,37.36388638,57.37856998,83.72448003,0.840057437,767
271,37.41194851,59.3308187,84.5817446,0.835915078,768
272,36.7449459,56.21812939,83.14357276,0.837024764,769
273,37.2347741,58.2217251,86.12099878,0.83956109,770
274,36.99303903,57.13191215,85.23343177,0.839708378,771
275,37.34882365,57.9877045,86.65301137,0.837647201,772
276,37.69144565,57.54354699,84.00532701,0.836520587,773
277,37.86024111,59.26253547,84.33860534,0.839059387,774
278,36.59403558,55.4557481,83.10841521,0.836768825,775
279,37.508593,58.10086538,84.56995371,0.838754256,776
280,37.2061318,57.80690034,81.7089079,0.837485177,777
281,37.49035811,57.67732927,85.53282933,0.836664415,778
282,37.51547125,58.08919299,87.11236859,0.836170598,779
283,37.34592692,57.59764318,84.978691,0.838424485,780
284,36.75901679,56.78546677,82.82040932,0.839749245,781
285,37.65151725,58.74832596,88.2703852,0.837412867,782
286,37.77578288,59.51293185,87.17239646,0.838686462,783
287,38.83804375,62.38925382,96.18911003,0.836058629,784
288,36.88077495,55.92465601,83.24259307,0.839525154,785
289,36.82366575,57.29403089,82.23256832,0.837904191,786
290,36.77827143,58.42173089,89.07626862,0.838946786,787
291,38.58216431,58.80986841,87.75815169,0.839402811,788
292,37.51865908,56.72581652,86.00004925,0.835896793,789
293,36.50241837,57.17080931,82.76640817,0.838043288,790
294,37.23980623,58.08913186,88.56710648,0.838356852,791
295,37.83509388,58.32133929,88.61509524,0.839186066,792
296,36.54394566,56.29932108,80.87314062,0.838968374,793
297,37.20665328,58.80683565,82.08839604,0.835298171,794
298,37.04237863,57.33525535,84.46575122,0.835822592,795
299,37.14287047,57.71851676,85.94075168,0.83515518,796
300,37.60735207,58.87540884,84.9145637,0.836675208,797
301,37.55554943,57.63518889,87.60621042,0.83644253,798
302,37.38397577,57.71027338,86.10177087,0.836897261,799
303,37.42347932,56.97282693,86.60366242,0.838075435,800
304,37.70897849,58.99231108,84.99179171,0.840280585,801
305,37.71808157,57.79920529,90.0747896,0.83659694,802
306,38.96569924,61.81864931,91.37369464,0.835902453,803
307,37.06788742,57.42201795,84.43944297,0.837356577,804
308,37.0422686,57.92393368,86.48941795,0.835531577,805
309,36.99729373,58.16330408,86.89091187,0.838073243,806
310,36.60632864,57.81794253,85.3755923,0.839507915,807
311,38.1612819,59.08389309,86.35948651,0.837083385,808
312,36.92175567,56.75713153,81.76485959,0.837585709,809
