NTU,min_from_start
37.141940000000005,1
37.00338,2
37.23448,3
37.89713,4
36.94431,5
37.3365,6
37.74004,7
37.244890000000005,8
37.15763,9
37.54168,10
37.53414,11
37.24134,12
37.2587,13
37.137240000000006,14
36.88443,15
36.53862,16
36.9729,17
36.70576,18
37.91121,19
36.86131,20
36.84128,21
36.80928,22
37.51758,23
37.18002,24
37.78847,25
37.9672,26
36.35718,27
36.975640000000006,28
36.92221,29
36.50659,30
36.30011,31
36.15558,32
36.69801,33
37.15289,34
36.10258,35
36.41916,36
37.2085,37
35.917359999999995,38
36.050740000000005,39
36.60112,40
36.33081,41
37.372440000000005,42
36.75415,43
36.22057,44
36.77363,45
36.95354,46
37.04263,47
36.7891,48
36.37161,49
35.99917,50
36.47071,51
36.28911,52
35.97575,53
36.08965,54
36.09115,55
34.97133,56
36.60762,57
35.97842,58
36.25626,59
35.50291,60
36.25932,61
37.46202,62
34.16962,63
34.13163,64
33.74813,65
33.50521,66
34.25305,67
33.77234,68
34.11155,69
33.10904,70
33.42934,71
34.10642,72
33.85181,73
33.69272,74
34.64536,75
34.10249,76
33.98743,77
33.98848,78
33.54797,79
33.56876,80
33.6932,81
33.63166,82
33.78679,83
33.79095,84
33.721990000000005,85
33.66132,86
33.7318,87
33.93547,88
33.546479999999995,89
33.28957,90
33.769020000000005,91
33.63615,92
33.71706,93
33.53642,94
33.57862,95
33.88644,96
33.731320000000004,97
33.64875,98
34.0112,99
33.631,100
33.8277,101
33.96199,102
34.6061,103
33.443490000000004,104
33.39045,105
33.38544,106
33.41744,107
33.73767,108
33.058440000000004,109
34.19612,110
32.93251,111
32.73278,112
33.424170000000004,113
33.67014,114
32.890370000000004,115
33.58538,116
33.6753,117
33.20845,118
33.22133,119
32.679120000000005,120
32.78297,121
33.38421,122
32.4254,123
33.21518,124
32.650009999999995,125
33.65482,126
33.48845,127
32.80153,128
32.845290000000006,129
33.03982,130
33.598890000000004,131
33.475840000000005,132
32.69348,133
32.29299,134
33.63584,135
33.15408,136
33.07289,137
32.24946,138
32.509609999999995,139
32.565690000000004,140
33.56532,141
32.66276,142
33.23488,143
32.96477,144
33.08466,145
32.7288,146
33.35637,147
33.46623,148
32.81715,149
32.97572,150
32.7797,151
32.893390000000004,152
32.5306,153
33.282990000000005,154
32.91357,155
32.45071,156
32.799209999999995,157
32.21262,158
32.44955,159
33.22102,160
32.31669,161
32.92768,162
32.685,163
32.90987,164
32.86139,165
32.27984,166
32.95264,167
32.98512,168
32.73042,169
33.378,170
32.72268,171
32.49007,172
33.04508,173
32.63329,174
