min,d16_mu,d50_mu,d84_mu,solidity
1,21.95466448,28.7494727,43.96675953,0.859907634
2,22.76343833,32.16806218,44.62820905,0.860154275
3,23.15304628,30.86238102,43.20417744,0.861682482
4,23.65541273,33.42493997,47.06089066,0.844918992
5,25.94879782,39.90653575,84.04767559,0.840891538
6,25.61319229,36.72857342,86.08110077,0.837665021
7,26.25423486,37.85787292,52.21494039,0.827831081
8,28.3839606,43.20740884,58.99518631,0.821826829
9,29.66234015,42.0990927,60.0657637,0.820038974
10,32.43302027,45.65735178,59.54111715,0.80959
11,37.31532914,53.72144952,90.03115004,0.802389109
12,38.99195443,53.61392277,86.01086214,0.798581373
13,32.47884436,50.89800806,70.57999173,0.79501018
14,41.0563628,58.43912141,75.55396605,0.810953012
15,45.09951109,63.11277376,80.59105299,0.797166279
16,39.87254779,55.76624536,69.30426004,0.779167742
17,44.74874049,58.85635118,92.64882655,0.802175658
18,51.89343263,77.25469089,185.009751,0.799987179
19,49.70666854,72.11360756,109.8104657,0.789146094
20,48.53035363,71.19618073,86.71077531,0.774161702
21,55.14057826,75.74290305,96.05023913,0.771339752
22,51.40047703,73.61276404,111.0611188,0.769956716
23,52.20185442,69.5647219,90.05386899,0.769858955
24,54.53450412,77.22625963,94.67423791,0.784276984
25,53.53758373,70.86296847,93.53274838,0.760597872
26,54.48232985,68.37967986,90.14133492,0.773896479
27,56.84089525,72.14839364,119.9548802,0.759582707
28,56.0427229,77.93584116,108.9748888,0.764778417
29,59.44746752,77.29181859,97.26969842,0.76742695
30,54.73605627,72.71040189,89.0706246,0.774731897
31,57.68905502,76.03693047,106.1553187,0.774040426
32,58.54207046,76.69153674,93.3673251,0.77087619
33,58.9325785,76.64416678,99.41914514,0.75921087
34,59.07323658,73.89360702,97.45686671,0.7716
35,59.88210746,81.52657996,121.5351281,0.762412195
36,59.86776931,79.42693391,102.0483182,0.76115
37,57.89684681,76.03052979,99.39791482,0.7532496
38,58.49893723,77.71227371,103.4362514,0.762157407
39,57.46386425,73.92038948,93.04064977,0.754768293
40,58.49420506,84.54781425,107.0605723,0.762173016
41,60.79110089,79.88764984,102.0921543,0.764645926
42,61.03883431,75.75982006,101.272046,0.76296194
43,58.91626187,75.92539729,105.2069378,0.771825954
44,58.55376204,77.41414583,103.2366106,0.761512593
45,60.33632075,82.22331495,104.6971214,0.784699174
46,61.75913707,83.03540985,109.1161275,0.764085366
47,59.89636543,83.79695337,104.3314373,0.763987421
48,57.55553009,78.91186383,103.1794405,0.775562617
49,62.49024995,80.75913983,99.25590174,0.760587963
50,64.48740767,80.8090156,112.5683568,0.759263415
51,58.13087465,78.38083449,97.30735487,0.759813559
52,61.6148827,83.9374177,104.4617038,0.767853571
53,63.51714607,85.13099634,109.5286627,0.765022222
54,63.05552704,82.100296,106.8065707,0.76434918
55,66.18852888,88.96637369,126.6498307,0.758442568
56,64.17575222,85.7223621,113.8695355,0.749113393
57,66.68467939,87.84043965,140.6408985,0.761463636
58,62.45883263,78.82844059,116.047739,0.758246617
59,65.44761538,84.04122876,103.3258873,0.76752381
60,63.31777862,86.03953613,109.6241319,0.764226357
61,62.80799793,78.99260303,103.6914857,0.773153543
62,64.26662117,86.67328572,114.1028102,0.752468462
63,60.05457464,87.42442912,111.0710662,0.774884848
64,65.91233529,87.51242192,105.1894519,0.77880463
65,64.12812339,91.76169094,137.9456568,0.759889381
66,64.90895208,82.71839516,133.7599301,0.767215966
67,66.56262645,86.56233652,109.0998235,0.770552586
68,64.47628319,85.67427919,106.0136613,0.7606
69,65.39098326,87.16553344,112.7657482,0.760702419
70,60.75322289,83.74868785,103.7516706,0.768414151
71,67.17924811,86.08419294,109.1954788,0.760696403
72,69.12755309,91.64643861,119.4000152,0.759967692
73,65.15219545,87.59591339,114.9364294,0.751195652
74,63.89406021,80.76496269,108.0371972,0.779648598
75,66.00815058,85.26599888,111.1012738,0.753123846
76,62.75461647,83.16355858,108.8065496,0.767848718
77,68.42997589,86.80889508,111.1275268,0.76377479
78,64.54284365,95.05286652,130.0275436,0.764653333
79,64.04037241,85.58192792,101.3819597,0.765758333
80,62.3522834,76.96495796,101.1265332,0.76802439
81,64.11554405,84.77758394,112.1874679,0.774262879
82,65.28219321,82.23378212,110.3792377,0.777436
83,63.44588166,83.3269917,111.6634144,0.766925899
84,64.48851607,83.24886943,110.0547432,0.761019549
85,69.745573,88.69429393,107.7295677,0.765702439
86,62.29977,83.14607121,107.7257798,0.755876984
87,63.72647061,86.12862234,116.9608075,0.780866667
88,61.46892177,86.33897765,112.906821,0.768159016
89,65.06044781,81.55106799,102.5793821,0.775862838
90,65.95431132,88.71622899,114.8596438,0.763009774
91,67.73431307,83.88905269,115.5772002,0.773495161
92,65.35101145,82.48484946,105.5469177,0.766387121
93,67.8764459,85.67559772,104.3683052,0.769312593
94,68.48524718,96.22321083,134.5163263,0.769950926
95,64.60342721,90.21118066,125.6607422,0.756895935
96,67.12255292,86.12095095,113.7838092,0.756038095
97,68.94778856,89.80480693,123.6667388,0.759398361
98,67.49003217,89.31525612,130.9574631,0.764529661
99,66.9043029,87.85618632,111.0309387,0.759134821
100,65.91927905,89.28316486,110.4689015,0.773387402
101,65.72117399,79.4318219,118.1041429,0.770545614
102,67.10515498,92.5441279,120.7694839,0.773007752
103,66.86593176,95.12828957,142.3594522,0.755973438
104,67.55840292,88.02392128,120.8961626,0.7603
105,68.80720034,92.94864128,122.8416871,0.766192188
106,65.10153305,81.55224339,105.0702614,0.75955035
107,66.05365128,84.95373938,110.4314155,0.770521622
108,61.03303604,81.7998427,102.9534247,0.758181481
109,65.95903083,83.22119611,109.381899,0.772187805
110,70.15875701,90.02132418,129.2121758,0.762490833
111,67.02461351,86.38944336,105.8159732,0.767278632
112,70.01541432,85.30996826,107.5505295,0.764117293
113,65.27436545,84.48233774,105.2577003,0.775847934
114,67.15312493,83.46775791,116.2116732,0.760803937
115,66.51660813,84.45064427,109.9170395,0.771314599
116,68.73319555,87.13433699,123.9792524,0.76662406
117,69.55980315,85.62197528,106.9903258,0.771632203
118,64.542654,80.27424917,107.4802106,0.75825935
119,67.03975912,90.71876292,166.2356799,0.764263964
120,68.01686421,85.85655199,118.5535085,0.770545312
121,68.62936069,89.26473829,122.4339698,0.76446875
122,63.97619786,84.13261789,118.433545,0.755370588
123,67.11032187,91.75360061,125.8461546,0.773630075
124,67.71273105,86.30849648,121.0993545,0.769549231
125,65.59819709,87.83550616,116.5087933,0.768075188
126,62.63151855,86.95100281,117.8310161,0.760222222
127,65.13125289,86.95979391,111.4266605,0.777505303
128,73.57521314,103.8876865,128.4774738,0.762109836
129,68.93211772,85.32390942,106.6246616,0.755195652
130,68.25654595,92.20101146,131.6185307,0.773075221
131,66.84920464,85.68759149,111.4890262,0.760442857
132,65.7142183,82.84203102,102.56447,0.773013333
133,66.27570607,88.56798055,109.7839289,0.761624762
134,63.86019098,82.37950591,116.3705911,0.763360317
135,69.8361001,92.09858164,110.4590658,0.770007097
136,64.51422415,81.35523377,107.675243,0.76099507
137,67.44105248,86.19070805,116.8554544,0.759812295
138,68.14413283,86.88420549,120.3035146,0.76531371
139,67.83591566,91.0155074,140.0836331,0.770032787
140,68.04080252,87.76485766,108.6620982,0.774892562
141,68.52623359,84.89651422,106.7690109,0.757800787
142,65.08694191,80.05651774,104.0495116,0.766546667
143,68.46226499,87.0704946,111.2710004,0.780269355
144,68.86210087,86.93028402,113.3631246,0.780002679
145,68.45689704,91.39771265,116.6598491,0.768952672
146,67.71624244,87.46499052,128.1404763,0.772477586
147,72.36689709,91.38499128,118.9583558,0.764495385
148,66.3858765,85.64063784,116.6631631,0.774529134
149,66.97582135,86.9564184,106.2723523,0.766064754
150,68.981263,95.50758606,126.8316914,0.769784328
151,68.07056126,87.4908259,115.236897,0.7729016
152,68.88040684,90.61155739,125.9938993,0.788417483
