min,G_Hz,S_ppt
0,95,2.2
60,95,2.2
60,50,2.2
120,50,2.2
120,20,2.2
180,20,2.2
180,50,2.2
240,50,2.2
240,95,2.2
300,95,2.2
300,50,2.2
330,50,2.2
330,50,4.5
442,50,4.5
