NTU,min_from_start
11.09716,1
11.3035,2
11.09594,3
11.12254,4
11.24087,5
11.50648,6
11.17965,7
11.26224,8
11.45739,9
11.07252,10
11.51723,11
11.29978,12
11.25636,13
11.20008,14
11.32502,15
11.12484,16
11.22659,17
10.99033,18
11.00627,19
11.27431,20
11.36232,21
11.16009,22
11.40839,23
11.13427,24
11.02148,25
11.18674,26
11.16024,27
11.10816,28
11.07521,29
11.08954,30
11.10318,31
11.45117,32
11.21911,33
11.19265,34
11.06675,35
11.14288,36
11.31137,37
11.04436,38
11.0337,39
11.20072,40
11.13491,41
11.10968,42
11.28081,43
10.94814,44
10.99106,45
11.07111,46
11.35338,47
11.08758,48
11.10503,49
11.10274,50
10.97552,51
10.90859,52
11.07526,53
11.28453,54
10.97943,55
10.897,56
11.17075,57
11.05859,58
10.8791,59
11.02832,60
11.14714,61
11.70104,62
10.91631,63
11.05101,64
10.64546,65
10.72755,66
10.91157,67
10.82102,68
10.89964,69
10.68448,70
10.701,71
10.57208,72
10.69435,73
10.95498,74
10.68834,75
10.84077,76
10.88482,77
10.94144,78
10.85099,79
10.7914,80
10.57169,81
10.92741,82
10.747,83
10.44425,84
10.64874,85
10.56103,86
10.62644,87
10.70017,88
10.67504,89
10.53909,90
10.71835,91
10.71978,92
10.63314,93
10.49538,94
10.59227,95
10.38725,96
10.58856,97
10.54212,98
10.52564,99
10.50384,100
10.55649,101
10.47182,102
10.65226,103
10.65412,104
10.7076,105
10.72554,106
10.52119,107
10.70706,108
10.53004,109
10.42753,110
10.45124,111
10.79355,112
10.51484,113
10.48223,114
10.56373,115
10.2186,116
10.41379,117
10.34237,118
10.39058,119
10.24363,120
10.10183,121
10.38736,122
11.08437,123
10.15251,124
10.02523,125
9.762277,126
9.590686,127
10.34883,128
10.02093,129
9.730652,130
9.803815,131
10.07475,132
9.998887,133
10.06737,134
9.915939,135
9.891411,136
9.599177,137
9.624839,138
9.756601,139
9.817943,140
9.392749,141
9.498454,142
9.258309,143
9.605388,144
9.311083,145
9.317924,146
8.989388,147
9.229568,148
9.23216,149
9.387416,150
9.193509,151
8.891757,152
8.877196000000001,153
8.97483,154
9.377645,155
9.08619,156
9.122155,157
9.22928,158
8.81397,159
9.107156,160
9.102764,161
8.888484,162
8.856531,163
9.225518,164
8.83923,165
8.973998,166
8.85003,167
8.706491999999999,168
9.696847,169
8.875096000000001,170
8.725575,171
8.715811,172
9.115855,173
8.848272999999999,174
8.8814,175
8.89518,176
8.747222,177
8.75035,178
8.609832,179
9.331708,180
9.128953,181
9.372659,182
9.422457,183
9.70279,184
9.855482,185
9.526847,186
9.303858,187
10.06331,188
9.443324,189
9.635399,190
9.884419,191
9.299108,192
9.431935,193
9.576991,194
9.685307,195
10.49659,196
9.771412,197
9.809735,198
9.162526,199
9.816768,200
9.668044,201
9.765697,202
9.535011,203
9.761889,204
9.822879,205
9.462043,206
9.564432,207
9.625085,208
9.883986,209
9.321836,210
9.587985,211
9.421388,212
9.975081,213
9.806604,214
9.714082,215
9.682899,216
9.540336,217
9.514581,218
9.369684,219
10.01961,220
9.710122,221
9.565995,222
9.587842,223
9.637256,224
9.578027,225
9.179288,226
9.71467,227
9.359952,228
9.568978,229
9.632901,230
9.498795,231
9.484627,232
9.744337,233
9.704649,234
9.736516,235
9.239146,236
9.372461,237
9.680507,238
9.665208,239
9.467324,240
9.850055,241
9.794386,242
10.00265,243
9.662521,244
9.677476,245
9.757776,246
9.805379,247
9.789544,248
9.839105,249
9.843015,250
9.980118,251
9.731044,252
9.930605,253
10.06273,254
10.05471,255
9.881236,256
10.15785,257
9.919361,258
9.882166,259
10.0398,260
10.1619,261
10.1683,262
9.904356,263
9.865405,264
9.823756,265
9.854844,266
9.900009,267
9.882611,268
9.846436,269
10.11126,270
9.985835,271
10.00368,272
9.995513,273
9.720534,274
9.978894,275
10.16112,276
9.928353,277
10.05627,278
10.20067,279
9.988229,280
10.12426,281
9.813496,282
9.91174,283
9.951669,284
9.953622,285
9.968143,286
10.06776,287
9.870926,288
10.00382,289
10.394,290
10.00431,291
10.16156,292
10.12201,293
