NTU,min_from_start
28.45516,1
28.65994,2
28.68117,3
28.66515,4
28.73881,5
28.78095,6
28.52026,7
28.674290000000003,8
28.79403,9
28.52419,10
28.98581,11
28.28302,12
28.55078,13
28.81737,14
28.5997,15
28.802190000000003,16
28.78602,17
28.76475,18
28.79015,19
28.811870000000003,20
28.59804,21
28.65882,22
28.71955,23
28.76318,24
28.6878,25
28.62605,26
28.941,27
28.765390000000004,28
28.8325,29
29.04448,30
29.04723,31
28.75511,32
28.93632,33
28.93657,34
28.9775,35
28.8665,36
28.76657,37
28.66727,38
28.62285,39
28.68667,40
28.52007,41
28.89525,42
28.77531,43
28.62201,44
28.64967,45
28.87328,46
28.92586,47
28.49525,48
28.7273,49
28.86833,50
28.44028,51
28.49039,52
28.278890000000004,53
28.538590000000003,54
28.70426,55
28.33779,56
28.3882,57
28.37298,58
28.50528,59
28.3855,60
28.19621,61
28.22878,62
28.00507,63
27.914,64
28.28838,65
28.2643,66
27.64992,67
28.01017,68
28.21984,69
27.92613,70
27.93925,71
28.33844,72
27.9022,73
28.22426,74
28.24902,75
28.20245,76
28.28327,77
28.22318,78
28.41041,79
28.07238,80
28.15442,81
27.85795,82
27.93423,83
27.824990000000003,84
27.71638,85
27.65813,86
27.77312,87
27.4423,88
27.26137,89
27.08893,90
27.4508,91
27.21461,92
27.453000000000003,93
27.59589,94
27.52423,95
27.60665,96
27.44928,97
27.55827,98
28.02968,99
27.726840000000003,100
27.56539,101
27.53307,102
27.70735,103
27.88678,104
27.6264,105
27.86708,106
27.54958,107
27.382040000000003,108
27.645940000000003,109
28.06048,110
27.93698,111
27.80607,112
27.756120000000003,113
27.571720000000003,114
27.774990000000003,115
27.54496,116
27.56185,117
27.6396,118
27.35527,119
27.24182,120
27.208170000000003,121
26.71683,122
26.854190000000003,123
27.1038,124
25.75891,125
25.51109,126
25.22323,127
25.4939,128
25.23953,129
24.90793,130
25.57928,131
24.904870000000003,132
25.2199,133
25.03739,134
25.14768,135
25.05251,136
25.02851,137
25.001520000000003,138
25.25881,139
25.30516,140
25.50476,141
24.65722,142
24.81599,143
24.6267,144
24.36016,145
24.24946,146
23.9561,147
24.2704,148
24.3501,149
24.2266,150
24.2042,151
24.28596,152
24.41317,153
24.19459,154
24.02456,155
24.62036,156
24.42558,157
23.55284,158
24.40227,159
24.512,160
24.26167,161
23.87833,162
24.26566,163
24.03498,164
23.35513,165
23.379,166
23.68821,167
23.02907,168
23.12263,169
23.35163,170
22.84264,171
22.17614,172
22.8693,173
23.28694,174
22.75608,175
22.29764,176
23.15036,177
22.31057,178
24.30721,179
24.64946,180
25.00825,181
25.54421,182
25.43716,183
25.91644,184
25.91064,185
25.85636,186
25.66543,187
26.01964,188
26.00815,189
25.75723,190
25.75006,191
25.67863,192
25.97246,193
25.46656,194
25.86749,195
26.14179,196
26.03854,197
25.81104,198
25.69714,199
25.9705,200
26.02204,201
25.91433,202
25.82046,203
25.90976,204
25.74898,205
26.18658,206
25.61462,207
26.24348,208
26.37806,209
26.44155,210
26.26901,211
26.18804,212
26.44813,213
26.53323,214
26.29032,215
26.63453,216
26.38592,217
26.07979,218
26.36265,219
26.06138,220
26.01449,221
25.82269,222
25.91973,223
25.87923,224
25.78924,225
25.9018,226
25.79669,227
25.69871,228
26.14381,229
25.87289,230
25.516820000000003,231
25.75693,232
25.7373,233
25.68983,234
25.86548,235
26.12559,236
26.442190000000004,237
25.98669,238
26.28256,239
26.55468,240
26.573690000000003,241
26.79746,242
26.8701,243
27.28955,244
26.933000000000003,245
27.22855,246
27.21613,247
27.26151,248
27.180670000000003,249
27.27767,250
27.3281,251
27.19697,252
27.240640000000003,253
27.28695,254
27.06874,255
27.55812,256
27.51554,257
27.58125,258
27.57256,259
27.57275,260
27.65518,261
27.735190000000003,262
27.56917,263
27.942190000000004,264
27.71598,265
27.37187,266
27.49009,267
27.55031,268
27.64446,269
27.72144,270
27.58798,271
27.80362,272
27.92525,273
27.6005,274
27.365340000000003,275
27.458990000000004,276
27.48228,277
27.69683,278
27.520640000000004,279
27.72492,280
27.607540000000004,281
27.43312,282
27.54903,283
27.45153,284
27.57801,285
27.509290000000004,286
27.66367,287
27.69275,288
27.87307,289
27.59098,290
27.704,291
27.64413,292
