NTU,min_from_start
48.07544,1
48.67166,2
47.83446,3
47.91615,4
48.59208,5
47.68153,6
48.52322,7
47.94682,8
47.60779,9
47.89798,10
47.84352,11
47.61479,12
47.2417,13
47.15572,14
47.9597,15
46.8858,16
46.89522,17
47.1374,18
46.80108,19
46.50114,20
46.26986,21
45.92937,22
46.23281,23
46.65848,24
45.86873,25
45.81621,26
46.72252,27
46.21126,28
46.18084,29
46.50675,30
46.38238,31
45.89319,32
46.60022,33
46.13069,34
45.56498,35
45.40992,36
46.13692,37
45.8546,38
46.18776,39
45.349,40
45.95617,41
45.63212,42
45.77111,43
45.57158,44
44.90259,45
45.588640000000005,46
45.97,47
46.00381,48
45.61422,49
45.15617,50
45.25469,51
45.33017,52
45.309540000000005,53
45.34928,54
45.72101,55
45.343140000000005,56
44.91916,57
44.92353,58
44.98997,59
45.19043,60
45.15109,61
44.88889,62
44.9778,63
44.76111,64
44.49443,65
44.87915,66
44.81999,67
44.78972,68
44.65599,69
44.62706,70
44.55346,71
44.57588,72
44.44007,73
44.52876,74
44.4692,75
44.36015,76
44.5187,77
44.293690000000005,78
45.06564,79
44.18697,80
44.36647,81
44.03256,82
44.37821,83
44.37473,84
44.35232,85
44.68851,86
43.75463,87
44.31862,88
44.05352,89
44.63513,90
44.29131,91
44.32642,92
43.73553,93
43.57999,94
43.88181,95
43.40025,96
44.26418,97
44.22464,98
43.95031,99
44.45745,100
44.52632,101
44.4673,102
44.09227,103
44.09998,104
43.74475,105
44.02029,106
43.25071,107
43.38651,108
43.64575,109
44.157790000000006,110
44.01579,111
43.25282,112
44.23495,113
43.89092,114
43.67089,115
44.15025,116
43.20726,117
43.62565,118
43.57457,119
43.49318,120
43.70617,121
43.5421,122
43.26792,123
43.85268,124
43.8268,125
43.89695,126
43.72,127
44.00998,128
43.71695,129
43.19876,130
42.956520000000005,131
42.74737,132
43.47446,133
42.99267,134
43.33945,135
43.28691,136
43.11806,137
43.22844,138
42.98967,139
43.53363,140
43.04982,141
42.1386,142
42.03567,143
41.98183,144
41.850640000000006,145
41.98829,146
41.91136,147
41.68255,148
41.88739,149
41.78669,150
42.15381,151
41.16599,152
41.60437,153
41.45273,154
41.28662,155
40.74543,156
40.7659,157
41.06012,158
40.80842,159
40.7874,160
40.73837,161
40.6573,162
40.59333,163
40.07655,164
40.51121,165
40.03114,166
39.91194,167
40.17791,168
40.41644,169
40.45427,170
40.16406,171
39.92954,172
39.45097,173
39.7033,174
39.71831,175
39.30085,176
39.46018,177
39.46634,178
39.95993,179
41.3105,180
40.83563,181
41.45881,182
41.08492,183
41.23113,184
41.77135,185
41.14273,186
41.1822,187
41.56111,188
41.77315,189
41.09186,190
41.75325,191
41.77447,192
41.4739,193
41.53382,194
41.52095,195
42.01194,196
41.21837,197
42.06886,198
41.19387,199
41.58319,200
41.58124,201
41.40331,202
41.46835,203
41.65345,204
41.57323,205
41.59795,206
41.49869,207
41.78806,208
41.33307,209
42.18098,210
41.3067,211
41.55214,212
41.97546,213
41.943940000000005,214
41.78317,215
41.41152,216
41.30296,217
42.06521,218
41.57659,219
41.35042,220
41.36562,221
41.4121,222
41.42777,223
41.595490000000005,224
41.53923,225
41.491890000000005,226
41.65051,227
41.63836,228
41.39126,229
42.01192,230
41.71817,231
41.79493,232
41.61781,233
41.22254,234
41.62525,235
41.61058,236
41.41604,237
41.22273,238
41.71626,239
41.67492,240
41.82533,241
41.58119,242
41.43726,243
41.54986,244
41.16895,245
41.66903,246
41.55053,247
41.28159,248
41.30114,249
41.3858,250
40.693000000000005,251
41.22368,252
41.34887,253
41.79825,254
40.97985,255
41.96797,256
40.96317,257
40.92547,258
41.30045,259
41.57611,260
41.50495,261
41.53481,262
42.00054,263
41.29299,264
41.85928,265
41.11868,266
41.60629,267
40.32602,268
41.53856,269
42.06719,270
41.51715,271
41.25358,272
41.08796,273
41.17578,274
41.42754,275
40.45925,276
41.21427,277
41.63446,278
41.42581,279
41.16615,280
41.0825,281
41.28289,282
40.92837,283
41.17744,284
41.42695,285
41.203590000000005,286
41.25586,287
41.58742,288
41.16957,289
41.0301,290
41.36543,291
41.61942,292
41.33297,293
41.61026,294
41.324740000000006,295
41.14199,296
41.67065,297
41.32294,298
41.64039,299
41.60901,300
41.87656,301
41.58628,302
41.47116,303
42.10742,304
41.65788,305
42.01278,306
41.5097,307
41.84887,308
41.45026,309
41.03695,310
41.25757,311
41.39748,312
41.57611,313
41.54227,314
41.08337,315
41.57861,316
41.55813,317
41.9607,318
41.47718,319
41.51269,320
41.21223,321
41.42914,322
41.87969,323
41.18299,324
41.13643,325
41.34407,326
41.53908,327
41.33917,328
41.05375,329
41.56852,330
41.57275,331
41.4241,332
41.21527,333
41.01955,334
41.4263,335
41.19619,336
41.67505,337
41.37103,338
41.49831,339
41.44277,340
41.27321,341
41.09333,342
41.28605,343
41.05056,344
41.2549,345
41.44717,346
41.0798,347
41.06357,348
40.37743,349
41.29854,350
40.51307,351
39.956520000000005,352
