NTU,min_from_start
53.01056,1
51.37214,2
52.44173000000001,3
52.86857,4
52.69445,5
52.66019,6
51.53868,7
52.09409,8
50.75236,9
51.90695,10
52.05979,11
50.91285,12
51.4371,13
50.09209,14
50.1734,15
51.25726,16
49.60594,17
50.32439,18
50.26305,19
50.57084,20
49.79938,21
49.95001,22
49.93484,23
48.81053,24
50.50781,25
49.31897,26
50.85896,27
48.83535,28
49.363,29
48.77228,30
49.29419,31
49.28391,32
49.68341,33
49.79506,34
48.95284,35
49.23388,36
48.49486,37
48.18193,38
48.39981,39
48.30001,40
48.66268,41
48.30141,42
48.61034,43
47.76619,44
48.82933,45
48.00427,46
47.92071,47
47.12923,48
48.0903,49
48.12982,50
48.57783,51
48.03091,52
48.0557,53
47.7323,54
47.36358,55
47.84788,56
47.53113,57
46.95576,58
48.04053,59
47.1421,60
47.40467,61
47.30883,62
47.65879,63
47.10036,64
47.91984,65
47.79177,66
47.21335,67
47.51135,68
46.50377,69
47.66015,70
47.69982,71
47.88329,72
47.0411,73
47.47471,74
47.31363,75
46.81623,76
46.90035,77
47.47062,78
47.06099,79
46.57207,80
47.03032,81
47.13083,82
47.25952,83
47.04458,84
47.42831,85
48.25011,86
46.51437,87
47.34494,88
46.29785,89
47.097640000000006,90
46.73707,91
46.33288,92
46.70912,93
47.19783,94
46.22886,95
47.05356,96
47.55751,97
47.59748,98
47.476040000000005,99
47.07035,100
46.52642,101
47.72162,102
46.90197,103
46.43068,104
46.4059,105
46.87619,106
46.64459,107
46.766020000000005,108
46.37895,109
47.03511,110
46.87615,111
46.43149,112
46.53932,113
46.59067,114
46.52724,115
46.67212,116
46.3809,117
47.04657,118
47.10274,119
46.66403,120
46.68301,121
46.57318,122
46.1212,123
46.97135,124
46.94847,125
46.69916,126
47.08271,127
46.81981,128
46.50613,129
46.52953,130
46.67696,131
46.34211,132
46.23033,133
46.455490000000005,134
46.28045,135
46.52569,136
46.379090000000005,137
45.91558,138
46.03485,139
46.82265,140
46.3586,141
46.21873,142
46.13797,143
46.69171,144
46.89569,145
46.52681,146
46.24246,147
46.63141,148
46.14357,149
46.11719,150
46.16762,151
45.900940000000006,152
46.27977,153
46.14472,154
46.1576,155
46.22891,156
45.94904,157
45.836090000000006,158
45.99226,159
45.93254,160
45.87826,161
45.96615,162
45.77582,163
46.34134,164
45.77773,165
46.32037,166
46.30603,167
46.05695,168
46.23271,169
45.94952,170
45.70338,171
45.34861,172
45.78304,173
45.71717,174
46.30002,175
45.99925,176
45.97305,177
46.27408,178
45.71126,179
46.22866,180
46.64929,181
46.2252,182
45.9798,183
46.02771,184
45.71977,185
46.10843,186
46.28022,187
45.77824,188
46.08809,189
45.83163,190
45.92199,191
45.62565,192
45.78097,193
46.29237,194
45.87184,195
46.174040000000005,196
46.08025,197
45.89023,198
45.37593,199
45.72201,200
45.39004,201
45.37698,202
45.71298,203
46.19705,204
46.34239,205
46.16882,206
45.96767,207
45.91235,208
46.02362,209
45.85178,210
45.92053,211
45.78803,212
46.00841,213
45.98774,214
45.99548,215
46.08362,216
45.74958,217
45.87641,218
45.57585,219
45.21016,220
45.90717,221
45.7533,222
45.67709,223
45.46448,224
45.881820000000005,225
45.78653,226
45.95784,227
45.6327,228
46.134640000000005,229
45.53227,230
45.78528,231
45.51296,232
45.32251,233
45.50521,234
45.6337,235
45.62561,236
45.60893,237
45.5102,238
45.44632,239
45.60808,240
45.50136,241
45.4766,242
45.16234,243
45.34889,244
45.5084,245
45.51087,246
45.58617,247
45.4928,248
45.59396,249
45.50322,250
45.79055,251
45.62771,252
45.58127,253
45.67557,254
45.73585,255
45.53227,256
45.29646,257
45.24176,258
45.06952,259
44.9241,260
44.98718,261
45.58806,262
45.78676,263
45.29329,264
45.31976,265
45.501540000000006,266
45.77853,267
45.37968,268
45.54523,269
45.36647,270
45.73262,271
45.369040000000005,272
45.19471,273
45.69055,274
45.55944,275
45.72725,276
45.54623,277
45.0067,278
44.94934,279
45.43031,280
45.16976,281
45.4862,282
45.01487,283
45.13901,284
45.26135,285
45.1362,286
45.31121,287
45.64881,288
45.3296,289
45.27403,290
44.836090000000006,291
45.01996,292
45.50821,293
44.89318,294
45.61853,295
45.15845,296
45.264,297
45.34189,298
45.2382,299
45.08297,300
45.46614,301
45.2687,302
45.49214,303
45.32887,304
45.25683,305
45.016020000000005,306
45.3332,307
45.40925,308
45.69767,309
45.72458,310
45.51686,311
45.30397,312
45.44585,313
45.41643,314
45.20602,315
45.31002,316
45.28696,317
45.30692,318
44.80743,319
45.18768,320
45.21054,321
45.09096,322
45.41819,323
45.19362,324
45.04524,325
44.78325,326
44.89145,327
45.19747,328
45.12817,329
45.52681,330
44.68251,331
45.19404,332
44.78891,333
45.19429,334
44.77574,335
44.74594,336
45.22893,337
44.67167,338
44.84555,339
45.21695,340
44.98944,341
45.2824,342
45.046040000000005,343
45.15145,344
45.2182,345
44.95523,346
44.88134,347
45.008590000000005,348
44.92671,349
45.038540000000005,350
44.6854,351
44.9328,352
45.11287,353
45.27423,354
44.92064,355
44.77597,356
44.69861,357
45.0757,358
44.87306,359
45.03412,360
45.13335,361
45.07518,362
45.01392,363
44.96706,364
44.73412,365
44.94173,366
45.0604,367
45.15379,368
45.15207,369
44.9597,370
44.83339,371
44.32067,372
44.91151,373
44.835370000000005,374
44.91468,375
44.79551,376
44.60747,377
44.91536,378
44.644020000000005,379
44.93599,380
44.793040000000005,381
44.7342,382
45.04433,383
44.83976,384
44.99106,385
44.49648,386
44.83362,387
44.69652,388
44.70641,389
44.68948,390
44.55616,391
45.05359,392
44.85324,393
45.00038,394
44.83258,395
44.50958,396
44.86451,397
44.69794,398
44.50962,399
44.48497,400
44.33173,401
44.739,402
44.68417,403
44.76809,404
44.80904,405
44.89227,406
44.71141,407
44.72015,408
44.53358,409
44.2464,410
44.69101,411
44.74452,412
44.76952,413
44.60054,414
44.83038,415
44.68788,416
44.33867,417
44.3304,418
44.37476,419
45.078990000000005,420
44.83448,421
45.1594,422
45.07817,423
44.732690000000005,424
44.85006,425
44.58191,426
44.86684,427
44.63271,428
44.45936,429
44.51738,430
44.63071,431
44.70565,432
45.0046,433
44.67044,434
44.76286,435
45.06344,436
44.65947,437
44.76072,438
44.65922,439
44.635940000000005,440
44.6203,441
44.37593,442
44.594840000000005,443
44.63308,444
44.61151,445
44.49918,446
44.60068,447
44.5247,448
44.6922,449
44.70171,450
44.43589,451
44.20949,452
44.75202,453
44.35492,454
44.47984,455
44.50746,456
44.4768,457
44.29442,458
44.48274,459
44.53258,460
44.61398,461
44.51068,462
44.23637,463
44.496,464
44.6222,465
44.65889,466
44.86927,467
44.45143,468
44.44816,469
44.485490000000006,470
44.33511,471
44.24929,472
44.41603,473
44.32651,474
44.57915,475
44.3114,476
44.68184,477
44.52032,478
44.35431,479
44.48769,480
44.45114,481
44.19942,482
44.59673,483
44.67419,484
44.38087,485
45.09063,486
44.65637,487
44.343,488
44.58485,489
44.31225,490
44.38452,491
44.57202,492
44.47679,493
44.62634,494
44.98732,495
43.94376,496
43.88034,497
44.605,498
44.5421,499
44.25267,500
44.16321,501
43.88214,502
44.17372,503
44.39555,504
44.381240000000005,505
44.43251,506
44.26322,507
44.27709,508
44.12662,509
44.29672,510
43.87671,511
43.84661,512
44.589940000000006,513
44.83642,514
44.80084,515
44.62341,516
43.90171,517
44.15984,518
44.2319,519
43.87107,520
44.32499,521
44.23827,522
44.39198,523
44.44937,524
44.58191,525
44.0497,526
44.28351,527
44.16107,528
44.22316,529
44.019490000000005,530
44.4816,531
44.15603,532
44.02514,533
44.53344,534
44.43213,535
44.11094,536
44.20707,537
44.57554,538
44.27025,539
44.23438,540
43.92955,541
44.16472,542
44.235240000000005,543
44.17091,544
44.060970000000005,545
44.90835,546
43.84917,547
44.21338,548
44.30564,549
44.08624,550
44.32066,551
43.940090000000005,552
44.20602,553
44.16795,554
44.20863,555
44.89602,556
44.17917,557
44.11046,558
43.90057,559
44.04709,560
44.31307,561
44.31644,562
43.74688,563
43.96508,564
43.95397,565
43.96989,566
43.79335,567
43.90157,568
43.82878,569
43.9848,570
44.13019,571
44.03274,572
43.859390000000005,573
44.1338,574
44.14087,575
43.90105,576
43.94238,577
43.92,578
44.25111,579
43.75168,580
44.19722,581
43.83876,582
44.00423,583
44.3171,584
43.83334,585
44.20844,586
44.01859,587
44.04938,588
43.51995,589
43.56138,590
44.02142,591
44.04657,592
44.43908,593
43.87918,594
43.88171,595
44.14691,596
43.7961,597
43.89737,598
43.95273,599
43.95967,600
44.15393,601
43.98505,602
43.84879,603
43.8313,604
44.0029,605
44.03312,606
44.12482,607
