min,d16_mu,d50_mu,d84_mu,solidity
1,19.16502523,28.14661547,47.53673121,0.85495477
2,18.1039859,25.2825796,35.59605927,0.857846154
3,19.31119154,26.10174869,36.42315463,0.854599639
4,18.99780495,25.64314097,37.37572862,0.891267246
5,19.25199128,26.81048612,35.3523912,0.898225
6,18.98072756,26.40712201,37.7376106,0.893709471
7,18.56771906,26.46278817,33.78426728,0.897442077
8,18.61882815,25.69588655,42.29437085,0.898443103
9,18.28439599,24.23731508,31.14391866,0.895395115
10,18.59708761,25.66564785,64.10100586,0.894366382
11,18.51324178,26.23166445,60.82833435,0.895532803
12,18.34112639,24.67884727,33.46415073,0.893503929
13,18.34130291,24.62796146,34.67016339,0.894288629
14,17.98973933,23.88168606,34.72495091,0.894807645
15,20.03063402,31.33334701,102.4574314,0.894211538
16,17.9155138,24.64121042,41.8760004,0.888976923
17,18.34379888,25.37849465,34.71100951,0.888757994
18,18.24580696,24.67306953,32.55652349,0.890059058
19,17.35617405,23.40755199,32.34901895,0.892111348
20,18.09471961,24.23934551,36.58803345,0.886519512
21,17.73268387,24.74407627,34.87726808,0.892762925
22,17.63223482,24.27307398,44.45922105,0.887248221
23,21.0723839,139.9321779,150.8735184,0.887746862
24,17.33613325,23.47358224,30.46031623,0.885644177
25,16.45734073,21.77419546,29.05022186,0.890491606
26,17.14994627,21.85770965,32.01423832,0.8903816
27,17.16102147,22.29892691,28.57914375,0.887413469
28,16.96648393,22.15102875,28.96569187,0.885422892
29,16.73230604,21.82134445,29.4646018,0.886038258
30,17.41358501,22.0432307,32.37242788,0.881745415
31,17.86663201,25.20970509,42.14367074,0.887304054
32,16.53338126,21.41415398,28.46290746,0.888365254
33,17.37137817,23.41832397,53.56119456,0.886970833
34,17.53226278,23.00122615,31.22662288,0.885904673
35,17.38558807,24.20016683,33.32795814,0.883520388
36,17.28646416,22.95424228,37.47551966,0.879463285
37,16.56191613,21.8046173,30.05008408,0.883084977
38,17.26010965,24.34508407,41.61367524,0.88276
39,16.94464286,22.33441853,29.25202432,0.882337566
40,17.93513524,26.54779617,72.82551411,0.883475706
41,17.04354951,21.99176463,30.40444899,0.884226214
42,17.57916803,23.66955566,31.11365057,0.883859184
43,17.3736651,22.41254594,31.6527161,0.883584444
44,17.03107407,26.19260781,44.15596045,0.877284783
45,16.72923971,22.50200241,36.00452382,0.881271134
46,18.15779813,26.78478183,59.44633346,0.881909659
47,16.93979112,23.01272811,39.5413229,0.878975926
48,16.66089309,20.32631681,25.75300957,0.879306667
49,17.51503777,27.31732644,58.51986242,0.879679518
50,17.0034651,22.48615037,30.67743504,0.873564324
51,16.43844245,22.86928866,35.82990054,0.876121212
52,17.5643443,25.74386219,54.50702113,0.87692139
53,16.92032166,24.38376419,40.09571175,0.876905143
54,16.54672314,22.42357622,32.081786,0.87842956
55,17.31170946,22.13450254,29.20055813,0.883892778
56,17.48866569,25.20281334,38.45329865,0.874206918
57,16.93031161,22.24941658,33.73045454,0.881605521
58,17.09701528,22.26284081,48.12132922,0.877856962
59,17.11934584,24.80822483,37.75995426,0.879341333
60,18.23011376,26.30608853,72.19183044,0.882079882
61,16.49630277,22.01952136,33.96258017,0.88297574
62,16.84474406,22.46940034,30.12295122,0.876395556
63,16.97170357,23.50627348,32.3207685,0.878219858
64,17.37955724,29.37349678,48.61300763,0.876931507
65,18.39999605,34.00448476,49.62662586,0.881220588
66,17.49902051,26.14377523,41.24317662,0.875799265
67,17.30244993,27.12902674,42.7815234,0.872763433
68,17.46433862,23.50201728,37.3959005,0.874634722
69,16.43465485,23.38071378,35.23993733,0.871192754
70,16.7962083,21.88535962,33.55977058,0.881189231
71,17.88377801,27.64236817,42.75264861,0.879364964
72,17.2041792,24.00350652,37.59756407,0.878646939
73,18.40642498,34.7548408,52.73513285,0.879218239
74,17.91125701,29.05439101,37.20735179,0.874069106
75,17.4736349,25.59205417,40.64818762,0.878444681
76,16.4290746,21.16889266,33.1173392,0.879089041
77,17.48607399,26.31995565,38.01762596,0.876246914
78,17.43445556,23.15344613,34.26260944,0.876473109
79,21.02876207,36.25045487,60.30918708,0.877185841
80,16.91636809,26.17678233,48.96546771,0.870767939
81,18.17803709,27.36425916,44.21794604,0.871884328
82,17.1779398,23.86711622,48.20272661,0.871646094
83,18.98746891,38.69969303,61.64342811,0.872687755
84,16.80474059,21.40923267,32.61234437,0.88172549
85,18.69100824,31.01157198,51.82235408,0.871986792
86,18.00059032,31.0603412,42.79569972,0.87388
87,17.61950647,27.94450418,59.7428617,0.878038636
88,19.54506737,31.87669564,75.16457216,0.870854237
89,19.39434658,34.69959168,68.1441698,0.86585614
90,17.17106929,26.30621363,38.93643286,0.86877931
91,17.33390564,25.99954053,45.87829725,0.879585827
92,17.64601477,24.6530768,40.54711648,0.873091045
93,18.24160448,29.40486202,41.12058855,0.870508759
94,17.43771208,28.31051552,53.64030879,0.872837815
95,18.02620138,26.45789826,43.42392803,0.874654412
96,19.04905713,34.15014363,50.46404894,0.874945238
97,18.75700597,40.73265759,56.27391381,0.874993396
98,20.92395517,30.89130889,47.91093131,0.875065909
99,20.52755457,37.95732545,58.36853066,0.870502752
100,18.10045901,29.10330552,42.13526333,0.868711111
101,19.61679343,29.58975203,44.35142709,0.866725
102,20.56475258,34.98786211,54.79646827,0.865607527
103,17.3020726,26.98295412,46.15239213,0.869501042
104,18.15190968,29.80473709,41.72439195,0.868638532
105,17.78139263,26.21217422,37.58509941,0.872631858
106,18.49511339,26.90567755,35.25549536,0.871821951
107,18.73004593,30.41720937,42.96136094,0.866682075
108,18.1990722,35.68796661,54.95601934,0.865431818
109,18.77317209,26.85527413,45.21125219,0.869258197
110,19.4229033,32.94880511,45.85505041,0.864406723
111,19.97511325,43.83520237,57.35480544,0.872168254
112,19.79410768,29.50601299,43.44656553,0.873410526
113,18.53734626,33.65564285,47.82300953,0.87227027
114,18.55812844,30.5353249,46.55142581,0.879073118
