min,d16_mu,d50_mu,d84_mu,solidity
1,20.71410637,28.39501494,39.25187306,0.8562185
2,19.78406075,26.13293033,34.35791437,0.891959389
3,20.56558357,28.80738163,41.40648369,0.900728507
4,20.87320033,27.37690888,37.54515686,0.898914857
5,19.31055457,26.18208104,33.91995885,0.897145699
6,21.19114513,27.88586586,34.06754304,0.896525628
7,20.3545165,27.24469714,37.55790921,0.900621143
8,19.96484334,26.85721725,41.30745141,0.895318857
9,19.71239718,25.43318928,36.19123242,0.895061538
10,19.8272745,26.12812422,42.48692571,0.894899383
11,19.49871597,24.73567486,38.55307075,0.894468208
12,19.36765055,24.43042542,32.27990201,0.891478616
13,19.69323577,24.63686581,32.26169213,0.889856329
14,20.49536817,28.26975357,40.68092379,0.892549686
15,18.54865593,24.05687604,35.71547695,0.890265541
16,19.34257014,24.60317935,34.80859566,0.890789313
17,19.79710478,24.81626851,32.27284403,0.892764189
18,19.24388629,23.22602551,31.60906247,0.888935971
19,18.5013584,24.5490864,30.35186992,0.887506557
20,20.66746134,27.26259816,65.13365441,0.888840541
21,19.15710479,24.35744422,34.33488445,0.890516667
22,19.61219574,25.19338792,33.79136904,0.884768376
23,19.15412026,24.06387544,31.4837813,0.896177
24,18.90985726,25.48491565,36.79093118,0.884542982
25,20.62940164,25.2677443,39.6701205,0.884156618
26,19.31925272,25.1413011,41.19832056,0.885060331
27,19.99763043,29.373859,43.69269555,0.884814173
28,19.96900185,28.22693886,49.84091951,0.881670787
29,18.72437823,26.2330517,36.06734524,0.882864486
30,19.95407183,26.12715613,42.57177498,0.883578151
31,18.5467223,24.78988821,32.55847207,0.8911
32,18.34362196,22.66017025,31.94380631,0.88386875
33,18.0309118,21.47490478,28.13558382,0.882346875
34,19.3307446,26.38850403,43.80004677,0.88003619
35,19.22930533,23.69677054,39.33819399,0.882428431
36,20.22910252,27.79524289,42.91154665,0.884240659
37,19.55569609,27.45225867,46.99405667,0.882582828
38,20.9677632,31.40124425,72.22511881,0.878318519
39,19.04587687,25.73464925,35.29116771,0.882798901
40,20.72792338,37.93176496,63.62123986,0.8783625
41,18.78947998,25.66339823,36.06099756,0.876023077
42,20.27970345,24.31592025,37.65542258,0.888083529
43,19.26304388,27.45240371,39.10984843,0.883217978
44,19.17591032,25.63111199,42.3877038,0.878567532
45,18.14592657,22.59658088,37.74944872,0.87885
46,17.50787332,22.32669255,36.69439522,0.880718667
47,18.65008401,26.28736372,43.03602059,0.87411791
48,20.2091329,27.87774283,45.27665857,0.8736225
49,20.12285818,28.31855555,45.17664524,0.875674576
50,18.62906997,23.58736703,42.05962936,0.879875342
51,22.63520177,36.84592634,68.01812681,0.883652113
52,21.43526559,39.18246569,51.76058739,0.871550794
53,20.27726851,31.02015966,45.10136558,0.876209722
54,19.71871826,26.32849105,43.13958131,0.878860274
55,20.79168373,35.52400347,60.58220579,0.875014865
56,20.28286663,29.29566477,41.14320297,0.877382432
57,20.82352915,34.54404231,47.36330022,0.877340678
58,20.04008094,41.87926838,65.34787416,0.873408475
59,19.90642693,27.15195625,44.0230694,0.874466667
60,22.00531744,38.02945126,64.59556299,0.863169014
61,20.72090669,29.3363859,52.7407548,0.876626154
62,21.43676268,46.92401002,65.22543305,0.876796721
63,20.8653549,30.61874208,57.17668542,0.871130986
64,18.7086784,25.72484912,37.23812427,0.868673913
65,20.88085225,29.13594789,46.88418208,0.867709524
66,19.47636455,25.87220968,35.40931864,0.868672222
67,20.70391558,29.86404493,39.26476513,0.882957377
68,22.64935855,37.81251384,69.20276666,0.869646552
69,20.671774,37.1906981,46.93411,0.878539437
70,19.57632404,28.92550775,51.61405501,0.871092958
71,20.14368865,29.52463053,42.436711,0.872910909
72,19.10102649,25.33351626,43.70199449,0.87077377
73,18.41349108,25.59098712,39.6933662,0.868849231
74,20.17881664,30.98417742,45.62504012,0.878714474
75,19.20713233,28.69195709,39.01994001,0.873149296
76,19.90328287,32.07546967,43.69359614,0.864251923
77,21.34788211,31.78906801,43.94732643,0.872216071
78,19.89183501,27.48601127,32.49289612,0.875144643
79,21.93078972,27.95063995,41.92021694,0.869082857
80,20.38894278,30.00747568,41.50246742,0.878068
81,19.08631142,27.13155377,52.17178867,0.863532143
82,20.54203957,27.83445738,34.60772363,0.864696721
83,20.80427782,41.07128067,73.87803519,0.866244898
84,21.61085502,27.13155377,36.98669659,0.874281132
85,24.35008053,27.13155377,108.5911605,0.879174074
86,20.51957396,28.65086307,42.96099301,0.859841935
87,19.46010332,24.23060431,33.68425928,0.881019048
88,23.81139093,40.59625092,49.44339811,0.870955556
89,21.1392036,27.45595454,51.55909394,0.873966667
90,22.52077592,43.82335821,68.47688799,0.872376
91,21.25639092,31.49379322,57.22459306,0.869649057
92,19.98139965,29.37689079,47.86651564,0.86930625
93,21.21907726,31.48315606,42.31481513,0.870623913
94,20.95983239,33.82521233,61.13646189,0.877937037
95,20.31104577,30.85833288,39.25375603,0.869835135
96,19.63610835,25.99284217,34.88639767,0.868466667
97,22.24743404,37.58439152,44.36553721,0.868423404
98,21.79847766,33.68623281,51.10461345,0.857868333
99,20.10945409,27.81713848,36.68652784,0.857042857
100,23.97855772,38.05355976,75.65141773,0.86977069
101,18.11078611,30.42189825,36.76196517,0.872615
102,20.5742006,29.93165892,53.29159412,0.867763462
103,20.90736388,32.07387945,48.16996076,0.880964286
104,21.59887369,32.38544942,41.56316676,0.867
105,23.69365316,34.51549333,81.33041267,0.874758824
106,22.16654172,44.34052394,57.52674033,0.865751111
107,19.8256516,27.5873875,38.77263025,0.86865
108,20.7293367,29.45212006,40.54470095,0.880241463
109,21.07242221,30.72139958,37.84912213,0.869221053
110,21.75962639,36.95985983,49.1516606,0.87665614
111,26.73145377,41.65012295,66.22565341,0.864476596
112,22.72123152,35.60926307,57.23876767,0.869773585
113,24.85581552,37.20976422,49.41456285,0.859242
114,22.00525506,31.11369974,42.28517253,0.865282609
115,22.56792281,36.41779483,52.51560871,0.860488462
116,19.94540318,28.7950755,38.86903901,0.85628125
117,22.65917291,34.36201948,52.63342468,0.862268
118,24.12140834,36.14763022,50.54741902,0.86960625
119,23.95826471,34.68986407,40.88421715,0.869498333
120,20.60523377,29.21482658,43.27459006,0.876052941
121,21.61610894,41.69960454,47.33624695,0.8723
122,22.79500974,35.59512836,47.23518984,0.8801
123,23.07154231,37.17781713,52.87177404,0.867049231
124,20.26957989,28.42224921,41.10385308,0.864662791
125,22.84749542,35.77751964,53.97190101,0.872602128
126,20.48509018,31.61440305,38.32330119,0.855209091
127,19.78776084,30.79040211,41.65665693,0.863842553
128,21.76376861,30.19058188,42.65537506,0.869729825
129,22.75500353,35.66628111,52.27465975,0.87063125
130,27.96605384,48.1247497,59.80936141,0.862653846
131,25.43127739,36.96896776,48.94047419,0.871625
132,25.73558791,37.42319729,59.27858086,0.86885
133,23.29127154,37.29086778,49.2266542,0.870712195
134,22.92927963,39.00991593,46.31490644,0.866129825
135,22.36566612,42.74634157,48.36964211,0.8652
136,24.86009225,38.53777368,57.202237,0.862566667
137,23.52714097,36.39565483,56.09969312,0.8602725
138,23.41269462,32.37885624,42.25459548,0.86739
139,27.12167575,43.20401906,52.01370222,0.868715385
140,22.73383306,38.66959321,50.61753689,0.866936957
141,23.56647448,35.98533422,51.5487929,0.878482353
142,25.06564414,39.78200369,45.25258845,0.866632653
143,20.87424529,28.60292753,41.91202595,0.858809302
144,26.50642535,39.58393299,46.97784726,0.865883636
145,24.73694742,41.72434352,65.92229557,0.866542857
146,21.37317034,30.61096114,43.4745593,0.861304444
147,67.76021146,186.3673701,196.6195082,0.859885455
148,23.13304824,30.94285988,52.97286968,0.863586538
149,23.623358,31.78928018,44.21541193,0.875139623
150,19.31763088,28.49127883,35.63427475,0.859985714
151,29.3446481,44.14011956,57.01007537,0.867884
152,29.49638989,44.3029641,59.21775516,0.868462
153,30.00201179,47.74683181,59.05845744,0.871250562
154,23.35903332,33.85359344,47.00982566,0.867747541
155,21.76212666,34.84314118,45.62342752,0.87000625
156,25.69950353,35.24497731,50.22403976,0.8649
157,24.34094054,32.3247114,46.5482141,0.87115375
158,26.54962122,37.76180008,48.2124758,0.86348
159,26.60560777,37.65535052,47.25939586,0.8566
160,26.70628956,40.67654117,49.05506229,0.859083333
161,29.47290326,45.3016035,75.70082247,0.853304167
162,27.87801499,39.03855105,52.00361488,0.83773875
163,33.50457098,46.17467965,59.91516421,0.833207778
164,32.64039204,50.40092599,76.92389673,0.818806098
165,36.96486499,51.51017619,67.45562101,0.814010714
166,36.94473716,46.75505379,59.83350709,0.796881148
167,39.9477294,54.33192863,81.25540475,0.791327273
168,43.98724895,63.27336692,100.3009736,0.815037391
169,46.01989548,59.79369881,87.6272122,0.778385714
170,45.2641185,63.46041883,84.02268422,0.780867308
171,48.79897171,64.18594075,83.52227707,0.775605983
172,49.90147544,71.45775129,88.35040338,0.784356881
173,49.41488723,63.79475476,85.85081972,0.776596
174,52.665417,69.69543503,100.8054445,0.772284252
175,57.86127239,77.31117979,107.8246678,0.781133813
176,53.78021788,74.4466162,113.4573259,0.781770769
177,57.64820956,76.7107383,86.30876679,0.768928947
178,55.08996994,82.88045431,128.3112446,0.781603846
179,59.90544256,79.70647353,91.25804087,0.776942857
180,54.75245951,73.4244409,91.30396178,0.7571925
181,57.28469209,77.60117587,96.78051142,0.78432029
182,57.54876109,76.9446426,91.67264156,0.75656092
183,59.30745758,75.11076018,95.19038092,0.776871186
184,60.34610842,82.50785377,98.71174542,0.769658
185,62.92204193,88.34145655,100.7931513,0.762911765
186,61.66174145,78.32392283,95.02321583,0.767297101
187,68.21206239,91.70171581,118.7725312,0.736672414
188,57.32851779,78.15353131,102.0476375,0.760336923
189,65.45365465,80.85764078,110.0701577,0.768980303
190,70.97666796,86.11970078,108.5526973,0.772170833
191,64.20160885,81.57019951,107.6500398,0.742431667
192,58.2288608,78.58100955,96.88440582,0.750723188
193,62.39643001,81.94352202,116.0170928,0.771673913
194,65.29418189,80.70871755,104.633461,0.786087931
195,66.50212086,78.70504882,98.33323946,0.75769863
196,60.45401992,82.59548284,94.7656534,0.757760714
197,69.45612092,89.1899222,124.2773539,0.771246
198,63.83813556,84.95068066,108.4909047,0.747779661
199,67.29354318,82.77777078,99.37060304,0.744108333
200,68.31926854,90.69614019,118.730277,0.75453125
201,63.10105567,85.73001979,100.1651106,0.760281333
202,70.11725976,88.20530556,110.163094,0.784771212
203,67.41783387,87.25285883,108.2007985,0.743641584
204,67.25528709,87.64617441,110.8302204,0.746750323
205,63.33836118,84.60661993,117.3834982,0.751192
206,66.5682572,83.67158772,115.4046634,0.764366667
207,70.58407453,89.57506094,113.1807808,0.766464835
208,66.68373888,90.54077089,105.4762016,0.744708163
209,71.93911846,94.88317137,131.4901981,0.757626786
210,66.33862541,92.66158672,135.5984722,0.740482
211,67.56232207,85.00657829,134.6787969,0.746648421
212,66.43342001,86.65579751,103.3153995,0.762729464
213,67.56141488,82.46137629,105.948069,0.748352128
214,65.74184664,83.11195976,109.5300505,0.774647059
215,65.61132017,85.72731447,106.4914411,0.774979348
216,71.83469221,88.29054904,107.909325,0.76579703
217,70.45219015,90.66069032,117.5403343,0.754538235
218,69.49574912,87.77303332,108.5362731,0.753745192
219,69.14831762,88.3208397,107.3197272,0.746607339
220,68.79684201,90.65982348,123.0423464,0.753564646
221,68.55785477,91.50774377,120.0567963,0.749978505
222,67.54863754,83.27490365,102.1756101,0.771249495
223,71.61821598,90.39673016,118.9432955,0.763580734
224,68.61980259,91.05372918,118.8652806,0.748289899
225,70.86328305,89.50007442,112.3618104,0.770347475
226,75.98737045,101.0164284,126.3674827,0.766961165
227,68.39756073,85.89422688,109.8999512,0.753788889
228,69.43374907,87.81280122,114.0979237,0.760925556
229,69.3910022,90.34008893,114.1304234,0.752557843
230,70.27348365,89.42494893,111.2355943,0.750508421
231,70.84132246,93.77809923,123.5496098,0.753978
232,70.90232495,90.29048032,124.7347347,0.765220183
233,71.61136062,93.05653716,116.6298855,0.753368182
234,65.88450717,84.73508764,110.9326454,0.756683784
235,67.17612728,87.3056792,107.1881958,0.7599
236,71.66038921,93.49791826,124.7926927,0.758319608
237,68.15356358,87.78667487,105.866923,0.758856481
238,72.13527225,91.14623367,116.5383712,0.762408911
239,69.01903444,87.69474306,106.4312974,0.767135185
240,69.83357167,90.13579857,112.1276068,0.754194175
241,68.50428757,84.3444302,101.6186159,0.758069149
242,68.04028447,91.05547083,108.9581725,0.76412
243,74.50684939,94.3131979,119.7467283,0.74673494
244,70.796343,94.75633069,127.9432801,0.761479167
245,67.45028924,90.23360146,122.2571056,0.747295413
246,71.9654321,93.7497022,112.7618766,0.757373267
247,70.64029979,91.57832315,118.2029215,0.756870115
248,72.52967323,93.83938399,126.0524869,0.752555172
249,75.13322887,91.42747575,125.9359726,0.760592857
250,68.83355844,89.56022302,114.8286318,0.76145
251,74.26030783,94.23413249,116.9759954,0.758364762
252,74.83332418,96.73841044,123.7482397,0.75464955
253,69.72290784,90.54061523,111.0523195,0.744438525
254,71.26116628,87.07947705,106.8115822,0.755336111
255,68.57468953,88.58323982,116.9510083,0.742436036
256,69.45018943,88.56150162,108.598956,0.7644112
257,73.8114859,95.79699342,122.7902131,0.76339902
258,73.04133933,90.76673388,113.7567511,0.7560725
259,71.07546077,86.83179092,109.4540224,0.758249091
260,67.53275208,89.79032459,112.063286,0.766242105
261,70.99087926,94.23069579,127.0618097,0.768896774
262,73.58668607,96.74205204,120.1332778,0.762815833
263,74.12382891,98.17900373,121.6879524,0.747313462
264,68.47723454,87.15522742,113.273727,0.756713636
265,70.98254141,92.03890751,113.2107127,0.757338739
266,72.50225786,92.95920932,118.7217386,0.754547967
267,73.01225486,93.58345888,116.1365809,0.754972174
268,76.47333096,98.60292993,138.2262727,0.746643158
269,71.69702749,90.65898442,119.68369,0.73872521
270,71.94004259,91.86223265,118.4649172,0.768743925
271,72.20431782,94.72524541,118.1379545,0.745998947
272,69.81854206,85.95123231,105.3685735,0.756184
273,72.98998772,91.40624703,118.2181613,0.761665455
274,74.0736991,91.67156942,115.2567753,0.753796262
275,71.81201843,87.95192494,111.3796914,0.751353
276,73.27437398,94.11014788,116.6725018,0.745074074
277,71.35382784,92.26543651,107.5794823,0.742467308
278,69.59244604,88.04341095,109.6532518,0.758326168
279,69.98885332,91.06109201,113.6139709,0.757827132
280,70.53187776,87.07550998,106.9500342,0.75449375
281,71.64949414,87.02986049,124.6367513,0.751845455
282,72.10062943,88.63752719,109.7387052,0.759195
283,69.7447706,87.63323859,107.7375101,0.74862
284,70.06789542,90.79876055,117.0079604,0.764557
285,70.33445366,89.33140087,120.708608,0.748500885
286,69.95290401,97.74338815,123.6132487,0.754449265
287,69.60719503,89.65155096,110.1506473,0.747633582
288,71.284076,90.13957512,114.3402695,0.746217172
289,72.3059812,90.51439453,111.7140571,0.765328182
290,73.97403859,96.82243183,136.3124866,0.748166355
291,68.61839472,88.19122078,110.5700117,0.74499375
292,73.34103635,91.38763409,121.4150976,0.757372165
293,71.7372911,92.08767572,129.6387088,0.7665
294,71.36053122,88.82389749,108.4814385,0.7735952
295,69.83225636,95.57517289,122.1083929,0.761618919
296,73.28559371,92.82289832,116.9061586,0.771241509
297,70.26083204,89.88794402,114.6586453,0.752168595
298,71.43260618,89.36033833,106.9680384,0.752790435
299,73.78780301,93.18753093,110.6393264,0.764431579
300,73.93459969,94.98735049,118.8341765,0.762725217
301,75.00530544,100.6570166,136.922565,0.746028704
302,75.01364435,93.24357611,112.0569697,0.747999
303,69.95272844,91.75957501,119.9122314,0.757713208
304,73.19944814,96.12758087,132.1548408,0.757041593
305,67.73931226,87.22282001,105.7941661,0.763377049
306,77.5401411,95.75620858,122.486548,0.762597414
307,74.37736607,99.07507117,132.0745639,0.746106422
308,75.41128566,93.1948339,112.6289645,0.755288696
309,74.12510166,93.9076542,116.7921156,0.75312931
310,74.05658759,97.88538639,123.3605304,0.746885833
311,70.35242767,91.84371731,123.9715419,0.754518852
312,71.40266697,90.03833283,125.9438859,0.763601626
313,69.58026743,87.27057678,112.4587527,0.74375431
314,73.7840919,94.28941555,118.7380146,0.759799057
315,68.94478366,87.25666303,105.8509232,0.742866667
316,70.48434528,87.02211708,108.257697,0.761578986
317,72.92118331,98.15099365,140.1482435,0.757267164
318,72.40465261,87.43339415,109.3056949,0.752987826
319,71.99240285,88.29955555,109.0694815,0.763174
320,69.62778281,86.98503421,111.1887693,0.753947154
321,76.92841374,94.85715609,122.8410759,0.757343802
322,73.69339138,99.40672015,117.0304182,0.753336441
323,75.05266726,92.38161144,114.6179783,0.753626496
324,73.53519637,97.13052976,147.3284728,0.759528369
325,74.38718178,93.06922817,123.1580505,0.748286325
326,72.47938108,91.8223021,119.7996805,0.756714167
327,73.61224132,95.4503705,127.8889603,0.7549744
328,73.42369009,89.32478629,110.4648305,0.752529412
329,70.84410346,90.70415724,116.9829102,0.752457258
330,73.72286765,89.88371152,117.7622358,0.75629172
331,72.78571839,95.58635913,130.925345,0.7469016
332,70.66796429,92.18021798,111.6607537,0.743651456
333,72.7921721,95.3982218,125.0449687,0.74753125
334,70.53255407,89.71936706,121.8136219,0.765595
335,73.73993523,100.8603601,135.0913653,0.755190756
336,73.13033001,91.58588858,113.7177699,0.738534862
337,71.6744395,92.53665066,127.7640736,0.736001709
338,73.62905195,87.4854379,112.1121635,0.760414394
339,72.58309087,94.39717251,120.9757244,0.758534314
340,74.07093234,92.71278043,127.5498473,0.767210924
341,71.65518753,88.72449203,112.4998468,0.76283945
342,73.63765267,90.5009462,110.5830884,0.749916364
343,75.98639176,97.40092634,122.5459389,0.749054867
344,73.04279226,90.14317995,115.442019,0.748182203
345,70.37086255,91.50863272,110.3844324,0.7571688
346,72.88201973,96.01417997,118.006023,0.756583582
347,71.60554794,90.02189915,112.7636913,0.739388333
348,72.0119442,91.59940181,121.6848716,0.762297561
349,76.80420606,97.89989329,120.2176808,0.749547059
350,73.0523204,92.60963104,118.1822885,0.753614286
351,68.37333127,88.6055537,118.6726623,0.758308943
352,72.22618263,90.13305153,117.520968,0.759471171
353,72.33760817,92.76070987,122.081071,0.74304087
354,71.82998527,95.48384671,129.6869959,0.751093939
355,76.29673305,99.67999224,119.2178205,0.751190984
356,71.04068973,92.99298841,125.0196198,0.744780172
357,72.33687893,92.0610326,117.8139805,0.742683486
358,70.37166949,89.61749538,111.279491,0.75759375
359,72.84456752,89.40561218,111.5458928,0.75583719
360,72.62590205,86.66065516,101.2090299,0.755683784
361,71.44275043,86.37775065,108.2710449,0.761179208
362,72.78031967,91.31723629,117.4844973,0.753636134
363,70.30708848,88.22338298,113.9563416,0.761372321
364,70.59218777,90.4341946,105.2243295,0.756275862
365,71.24871503,90.037565,116.1178553,0.748972932
366,70.373202,91.97278521,111.8998208,0.7506475
367,73.21232831,87.90677129,126.0552282,0.74892562
368,73.57397658,97.68545848,123.8650645,0.745954098
369,75.48521564,94.70827111,116.6366329,0.745241748
370,69.41908633,88.07057463,113.636871,0.75039913
371,75.22742842,91.58239965,118.3341219,0.767702239
