min,G_Hz,S_ppt
0,70,1.9
60,70,1.9
60,70,4.7
120,70,4.7
120,70,6.8
180,70,6.8
180,70,9.5
240,70,9.5
240,70,13.8
300,70,13.8
300,70,30
570,70,30
