NTU,min_from_start
20.17765,1
20.28879,2
20.17223,3
20.14227,4
20.21822,5
20.08298,6
19.96873,7
20.13869,8
20.18327,9
20.07529,10
20.76053,11
20.60002,12
20.81266,13
20.74185,14
20.32219,15
20.65206,16
20.81799,17
20.24827,18
19.93496,19
20.24011,20
20.32486,21
20.95772,22
19.80038,23
19.80472,24
19.96033,25
20.45392,26
21.06369,27
20.42306,28
19.948220000000003,29
20.88781,30
19.41599,31
20.00496,32
19.81601,33
19.46174,34
19.88231,35
19.56389,36
19.15882,37
19.14444,38
19.23994,39
20.02563,40
19.42251,41
19.97619,42
19.83986,43
19.36925,44
19.0241,45
18.56851,46
19.3477,47
19.29252,48
19.40221,49
19.15755,50
19.47089,51
19.16141,52
20.96721,53
21.50914,54
19.75596,55
18.62291,56
18.58576,57
18.5783,58
18.65428,59
17.89852,60
18.15089,61
18.76045,62
18.25437,63
18.73184,64
18.50951,65
18.48405,66
18.58968,67
18.30079,68
18.85642,69
18.91917,70
18.6827,71
19.03646,72
19.07342,73
18.8506,74
18.84056,75
18.97353,76
19.21362,77
19.33199,78
19.48159,79
19.75441,80
19.28379,81
19.3244,82
19.28719,83
19.41311,84
19.30478,85
19.63091,86
19.55951,87
19.50517,88
19.66902,89
19.32095,90
19.34845,91
19.51036,92
19.43193,93
19.66228,94
19.30888,95
19.18777,96
19.2297,97
19.6942,98
19.4306,99
19.57393,100
19.46461,101
19.50423,102
19.55743,103
19.67341,104
19.58158,105
19.40829,106
19.332320000000003,107
19.43094,108
19.38109,109
19.7184,110
19.83505,111
19.5987,112
19.55719,113
19.30917,114
19.78304,115
19.14599,116
19.63521,117
19.47923,118
19.41155,119
19.57086,120
19.41806,121
19.57129,122
19.75383,123
19.42726,124
19.54715,125
19.50951,126
19.46207,127
19.42924,128
19.58176,129
19.40084,130
19.48593,131
19.53489,132
19.62629,133
19.55351,134
19.70222,135
19.89575,136
19.726,137
19.75675,138
19.91816,139
19.91038,140
19.82241,141
19.87212,142
19.99623,143
19.83274,144
20.14053,145
19.94967,146
19.916220000000003,147
19.98259,148
20.04656,149
19.99014,150
19.86123,151
19.95543,152
20.18119,153
19.9533,154
20.17704,155
19.89627,156
20.01976,157
20.23398,158
20.00561,159
19.90255,160
20.03755,161
20.10066,162
19.91443,163
20.01921,164
19.96826,165
19.91194,166
19.88798,167
20.11463,168
20.28554,169
20.15217,170
19.97887,171
19.96,172
20.01981,173
20.17614,174
19.93255,175
19.94707,176
20.07175,177
20.04778,178
19.898770000000003,179
19.97462,180
20.06321,181
20.032120000000003,182
20.14171,183
20.076320000000003,184
19.96977,185
19.94788,186
20.16071,187
20.04311,188
19.81665,189
19.9759,190
20.37734,191
20.37522,192
20.07949,193
20.2679,194
20.08047,195
20.13043,196
19.95066,197
20.07746,198
19.93213,199
19.96614,200
20.19874,201
19.95453,202
19.88627,203
19.88151,204
20.06161,205
20.13133,206
19.70803,207
19.81906,208
20.01208,209
19.90453,210
20.1985,211
19.86416,212
19.7885,213
19.73515,214
19.78538,215
20.0042,216
19.94556,217
20.28709,218
19.88528,219
19.75713,220
20.0933,221
19.74416,222
20.12222,223
20.16251,224
19.825,225
19.95571,226
19.86066,227
19.968870000000003,228
20.1319,229
19.76978,230
19.90613,231
19.77363,232
19.86175,233
20.15294,234
20.02259,235
19.85906,236
20.12996,237
19.97646,238
19.87704,239
19.54787,240
20.41109,241
19.58436,242
19.70562,243
19.97,244
19.77892,245
20.03307,246
20.06807,247
19.8642,248
19.49531,249
19.71458,250
19.88411,251
20.04208,252
19.67808,253
19.82835,254
19.60229,255
19.92996,256
19.58899,257
19.86935,258
19.70468,259
19.76062,260
19.8291,261
19.79114,262
19.9069,263
19.56394,264
19.61897,265
19.66807,266
19.72087,267
19.31846,268
19.9567,269
19.53766,270
19.4666,271
19.77944,272
19.65619,273
19.79368,274
19.60969,275
19.20354,276
19.08775,277
19.60008,278
19.91609,279
19.29492,280
19.48767,281
19.50154,282
19.61577,283
19.58313,284
19.71944,285
19.74577,286
19.48621,287
19.47696,288
19.5013,289
19.324820000000003,290
19.41971,291
19.63889,292
19.41703,293
19.39613,294
19.38608,295
19.32186,296
19.64534,297
19.68407,298
19.73487,299
19.43212,300
19.38061,301
19.49041,302
19.61304,303
19.24069,304
19.40614,305
19.59525,306
19.85425,307
20.40605,308
19.65576,309
19.36887,310
19.50381,311
19.20584,312
19.63138,313
19.6402,314
19.10911,315
19.29473,316
19.32553,317
19.50358,318
19.67034,319
19.5163,320
19.16674,321
19.10949,322
19.41981,323
19.49744,324
19.18179,325
19.62101,326
20.3138,327
20.68773,328
20.13256,329
20.05944,330
20.5043,331
20.51671,332
20.06312,333
19.98675,334
20.09477,335
20.10482,336
20.16714,337
20.46009,338
20.50128,339
20.109720000000003,340
20.1519,341
19.92109,342
20.18813,343
20.13878,344
19.89241,345
20.19893,346
20.80063,347
20.15086,348
20.14118,349
20.20308,350
19.97204,351
20.51878,352
20.13912,353
20.0725,354
20.11991,355
19.98094,356
20.06882,357
20.12157,358
19.91142,359
20.4066,360
19.96741,361
20.16567,362
20.40428,363
20.21596,364
20.38088,365
19.99416,366
20.02453,367
20.03948,368
19.83821,369
20.31484,370
20.12166,371
20.44462,372
20.12185,373
20.15029,374
20.37677,375
20.09278,376
19.82789,377
19.8417,378
20.08057,379
19.98109,380
20.13704,381
20.28554,382
19.79473,383
19.60785,384
19.74813,385
19.78383,386
19.6952,387
20.1302,388
19.65313,389
19.8826,390
19.64374,391
19.99509,392
19.81453,393
19.92835,394
19.67025,395
19.64223,396
19.7585,397
19.97496,398
20.02628,399
19.98566,400
19.71058,401
20.12755,402
19.85265,403
20.05139,404
19.41015,405
20.16619,406
19.76354,407
19.89759,408
19.79911,409
19.77331,410
19.90906,411
19.82057,412
19.852220000000003,413
19.64705,414
20.06104,415
19.74812,416
19.76463,417
19.76874,418
19.7993,419
19.56753,420
20.14804,421
19.9428,422
19.45979,423
19.54592,424
19.86302,425
19.88595,426
19.74184,427
19.67043,428
19.84109,429
19.50073,430
19.57026,431
19.99783,432
19.7435,433
19.77288,434
19.84896,435
19.765,436
19.75251,437
19.83213,438
19.5904,439
19.67487,440
19.79189,441
19.8817,442
19.6778,443
19.41953,444
19.88114,445
19.62488,446
19.798820000000003,447
20.0651,448
19.92344,449
19.47164,450
19.34723,451
19.46456,452
19.43209,453
20.15449,454
19.74369,455
19.89108,456
19.65889,457
19.5181,458
19.90209,459
20.0451,460
19.75562,461
19.36864,462
19.5305,463
19.86265,464
19.88302,465
19.9559,466
19.76699,467
19.46523,468
19.9334,469
19.41542,470
19.47749,471
19.523,472
19.19758,473
19.51367,474
19.399,475
19.71133,476
19.2953,477
19.75091,478
19.833070000000003,479
19.55809,480
19.81802,481
19.62516,482
19.84398,483
19.38708,484
19.81448,485
19.54776,486
19.68298,487
19.4932,488
19.61167,489
19.45094,490
19.38996,491
19.769920000000003,492
19.67247,493
19.21564,494
19.33557,495
19.4715,496
19.84114,497
19.30535,498
19.1395,499
19.62869,500
19.70167,501
19.53041,502
19.85859,503
19.72426,504
19.19824,505
19.03164,506
19.42113,507
19.09511,508
19.38472,509
19.74024,510
19.33086,511
19.04618,512
20.029870000000003,513
19.64213,514
19.42245,515
19.76925,516
19.58497,517
19.48197,518
19.49843,519
18.89469,520
